CBO,WMC,LCOM,SLOC,Output
4,1,0,17,Gmean1
11,21,95,141,Gmean1
11,2,0,104,Gmean1
5,2,0,17,Gmean1
7,5,0,200,Gmean1
4,16,92,104,Gmean1
10,2,0,30,Gmean1
8,7,85,46,Gmean1
1,4,100,14,Fmes
7,2,0,53,Gmean1
3,19,92,136,Gmean1
6,22,91,134,Gmean1
12,15,85,96,Gmean1
0,0,0,3,Gmean1
6,4,75,50,Gmean1
6,3,58,28,Gmean1
10,2,50,43,Gmean1
14,1,33,28,Gmean1
2,1,100,7,Precision
11,5,60,32,Gmean1
4,1,100,38,Gmean1
15,4,71,31,Gmean1
4,4,0,22,Gmean1
6,2,0,22,Gmean1
3,8,81,28,Gmean1
18,15,93,159,Gmean1
8,1,0,15,Gmean1
1,1,0,4,Precision
11,4,50,100,Gmean1
5,1,0,10,Gmean1
7,1,0,53,Gmean1
1,1,0,5,Precision
11,6,69,84,Gmean1
6,4,50,37,Gmean1
12,9,77,107,Gmean1
0,1,0,5,Precision
3,2,33,12,Gmean1
3,3,0,42,Gmean1
8,2,0,50,Gmean1
0,0,0,2,Gmean1
0,6,66,22,Precision
1,0,0,3,Gmean1
3,4,100,22,Gmean1
1,2,0,7,Gmean1
1,5,60,17,Fmes
3,4,66,41,Gmean1
2,4,100,26,Fmes
28,35,94,410,Gmean1
3,9,93,74,Gmean1
4,4,56,24,Gmean1
3,10,100,39,Precision
1,6,100,25,Gmean1
0,0,0,3,Gmean1
0,0,0,3,Gmean1
13,4,75,40,Gmean1
10,2,16,38,Gmean1
13,2,40,49,Gmean1
34,5,68,86,Gmean1
3,1,100,45,Gmean1
5,2,50,14,Gmean1
2,1,50,9,Gmean1
10,3,75,27,Gmean1
13,18,89,114,Gmean1
14,4,66,56,Gmean1
5,1,0,14,Gmean1
8,16,66,168,Gmean1
11,20,0,117,Gmean1
2,1,0,9,Precision
10,11,86,79,Gmean1
6,12,100,80,Precision
7,9,88,57,Gmean1
4,4,0,43,Gmean1
4,13,100,92,Gmean1
3,9,100,49,Precision
2,8,100,57,Gmean1
9,1,0,26,Gmean1
32,87,97,1026,Gmean1
18,5,0,124,Gmean1
21,44,96,281,Gmean1
4,1,50,16,Gmean1
6,17,85,74,Precision
2,1,0,8,Precision
28,43,93,358,Gmean1
4,1,0,15,Gmean1
2,1,0,42,Precision
8,1,0,49,Gmean1
0,1,50,10,Accuracy
1,0,0,3,Gmean1
4,1,0,11,Gmean1
35,92,97,1108,Gmean1
7,11,77,61,Gmean1
1,4,100,17,Gmean1
5,3,75,28,Gmean1
8,7,85,56,Gmean1
2,8,100,32,Gmean1
17,16,81,103,Gmean1
19,1,50,36,Gmean1
2,0,0,18,Gmean1
18,4,70,46,Gmean1
5,2,50,16,Gmean1
25,7,67,90,Gmean1
13,3,57,66,Gmean1
12,2,66,51,Gmean1
5,1,66,33,Gmean1
4,1,100,8,Gmean1
10,2,50,32,Gmean1
9,2,100,22,Gmean1
10,11,0,89,Gmean1
4,3,0,19,Gmean1
7,2,0,26,Gmean1
21,29,93,237,Gmean1
9,1,0,63,Gmean1
5,4,0,31,Gmean1
1,1,0,4,Gmean1
6,8,81,46,Gmean1
14,15,87,269,Gmean1
0,3,0,9,Accuracy
3,17,52,54,Gmean1
3,1,0,7,Precision
3,2,0,9,Gmean1
6,10,85,74,Gmean1
37,97,96,598,Gmean1
27,13,87,286,Gmean1
8,1,0,26,Gmean1
16,2,0,53,Gmean1
10,8,0,133,Gmean1
23,5,0,134,Gmean1
4,1,0,90,Gmean1
0,1,0,5,Fmes
13,8,50,79,Gmean1
9,2,12,36,Gmean1
2,2,0,8,Precision
48,40,90,883,Gmean1
22,47,90,310,Gmean1
5,7,85,54,Gmean1
6,18,90,110,Gmean1
5,11,100,77,Gmean1
