CBO,WMC,RFC,SLOC,Output
6,18,31,42,Balance
1,2,19,10,Balance
1,2,19,10,Balance
6,5,18,58,Balance
7,8,32,100,Balance
20,18,31,178,Balance
14,19,32,132,Balance
2,6,19,33,Balance
11,4,17,80,Balance
19,4,17,119,Balance
10,4,42,43,Balance
2,2,15,14,Gmean2
0,0,13,1,Balance
5,12,25,48,Balance
2,7,20,31,Gmean2
1,3,23,16,Balance
14,4,35,47,Balance
15,2,15,63,Balance
9,5,18,51,Balance
3,2,19,13,Gmean2
3,7,27,37,Gmean2
8,2,26,22,Balance
4,1,20,11,Balance
3,1,20,87,Balance
3,1,21,29,Balance
14,6,26,71,Balance
7,2,19,108,Balance
15,6,26,93,Balance
6,1,18,96,Balance
6,8,35,32,Balance
4,3,21,55,Gmean2
4,7,37,27,Balance
3,6,26,33,Balance
25,13,26,284,Balance
10,5,27,58,Balance
20,11,24,285,Balance
83,42,99,1418,Balance
20,15,28,220,Balance
8,16,29,66,Balance
7,4,17,34,Balance
21,4,17,129,Balance
11,2,33,28,Balance
2,3,16,18,Gmean2
5,5,25,27,Accuracy
2,3,16,21,Balance
26,20,33,280,Balance
11,5,18,53,Balance
2,2,88,13,Balance
10,12,25,281,Balance
3,2,19,11,Gmean1
1,2,19,10,Balance
1,2,19,10,Balance
3,2,19,11,Balance
1,2,19,10,Balance
13,3,21,29,Balance
21,3,21,94,Balance
8,3,16,32,Balance
3,6,19,33,Balance
6,2,21,30,Balance
40,12,25,559,Balance
41,14,27,300,Balance
6,7,32,29,Balance
11,4,42,45,Balance
10,7,32,44,Balance
5,9,30,32,Balance
42,60,173,327,Balance
4,5,18,25,Balance
7,12,25,139,Balance
7,12,25,132,Balance
7,10,23,77,Balance
8,3,16,33,Balance
5,1,22,18,Precision
0,4,24,24,Precision
63,34,47,553,Balance
1,2,17,13,Balance
3,6,25,25,Precision
5,2,20,51,Precision
7,4,46,19,Balance
5,6,27,29,Balance
7,2,21,92,Balance
4,5,35,18,Balance
11,15,28,209,Balance
6,6,34,21,Balance
8,8,29,40,Balance
8,22,35,91,Balance
3,5,18,33,Balance
9,17,30,125,Balance
12,6,19,51,Balance
6,4,17,21,Balance
2,1,14,8,Fmes
19,6,19,167,Balance
5,7,20,30,Balance
2,10,23,31,Balance
10,11,40,91,Balance
6,16,29,168,Balance
3,2,15,17,Balance
2,7,20,42,Balance
4,3,18,13,Balance
11,17,30,82,Balance
1,2,19,11,Accuracy
1,2,19,11,Accuracy
2,4,32,32,Balance
28,44,57,686,Balance
3,3,16,19,Balance
8,1,14,44,Balance
12,3,16,96,Balance
6,12,25,48,Balance
0,0,13,9,Balance
10,10,25,65,Balance
10,2,15,21,Balance
7,10,23,81,Balance
3,1,14,14,Balance
5,5,18,29,Balance
6,4,28,19,Balance
16,8,21,97,Balance
6,13,26,68,Balance
10,3,20,28,Balance
10,8,25,45,Balance
8,9,26,55,Balance
5,2,19,14,Balance
2,2,22,8,Gmean1
6,1,18,13,Balance
6,2,26,27,Balance
13,5,37,77,Balance
3,1,22,53,Balance
9,1,25,44,Balance
12,2,33,129,Balance
3,1,52,12,Balance
8,4,21,110,Balance
5,4,22,90,Balance
8,3,22,73,Balance
11,4,17,64,Balance
2,3,16,20,Balance
21,2,88,105,Balance
1,4,24,21,Fmes
7,10,23,48,Balance
4,6,24,34,Balance
24,4,17,198,Balance
10,2,33,18,Balance
3,4,17,27,Balance
2,3,16,14,Gmean1
5,7,20,33,Balance
26,7,20,137,Balance
0,1,14,4,Balance
12,9,22,130,Balance
8,6,19,87,Balance
1,3,16,14,Balance
1,2,19,10,Balance
3,2,19,11,Balance
1,2,19,10,Balance
15,6,24,122,Balance
2,6,19,22,Gmean2
5,5,18,29,Balance
32,7,20,149,Balance
9,4,42,40,Balance
6,5,36,29,Balance
10,5,23,24,Balance
10,4,17,27,Balance
8,2,15,40,Precision
6,12,28,73,Balance
7,10,26,61,Balance
7,12,25,95,Balance
6,2,15,48,Balance
5,3,22,52,Balance
13,4,17,113,Balance
5,1,23,11,Balance
39,3,16,135,Balance
2,5,18,24,Balance
3,2,19,14,Gmean2
6,1,18,62,Balance
4,1,22,40,Balance
5,1,22,27,Balance
4,1,20,30,Balance
5,4,36,21,Balance
1,1,14,6,Balance
3,1,20,46,Balance
7,2,19,115,Balance
5,2,15,11,Balance
4,5,22,25,Balance
7,7,27,37,Balance
10,4,17,44,Balance
13,5,27,92,Balance
2,4,17,18,Gmean2
3,2,15,12,Precision
2,3,29,15,Balance
46,24,47,593,Balance
6,4,17,21,Balance
2,4,17,20,Balance
2,1,14,9,Precision
7,9,32,51,Balance
4,17,30,114,Accuracy
7,5,18,28,Balance
19,6,19,101,Balance
9,4,17,109,Balance
20,2,22,88,Balance
3,7,20,33,Precision
1,2,19,11,Balance
1,2,19,10,Balance
3,2,19,11,Balance
8,5,20,59,Balance
6,1,34,14,Balance
10,6,19,51,Balance
16,4,17,98,Balance
1,3,16,53,Accuracy
4,8,21,48,Balance
16,2,15,62,Balance
7,9,22,46,Balance
19,10,23,89,Balance
10,6,19,113,Balance
8,5,36,32,Balance
5,8,29,33,Balance
5,10,31,35,Balance
6,4,19,31,Balance
8,5,29,58,Balance
5,1,22,20,Balance
3,1,52,12,Balance
5,2,17,13,Balance
9,4,36,28,Balance
3,1,22,35,Balance
5,2,24,9,Balance
4,1,19,40,Balance
2,2,20,47,Balance
4,7,28,37,Balance
10,4,31,36,Balance
3,5,22,28,Balance
5,6,30,33,Balance
3,1,14,11,Accuracy
12,2,33,45,Balance
16,8,21,104,Balance
15,12,35,163,Balance
13,2,33,28,Balance
6,9,105,53,Balance
19,5,18,173,Balance
8,9,22,55,Balance
13,4,17,94,Balance
2,4,17,15,Balance
13,25,44,211,Balance
8,2,15,34,Balance
8,6,19,75,Balance
22,7,20,161,Balance
18,7,20,88,Balance
12,6,19,82,Balance
36,17,30,649,Balance
11,5,18,86,Balance
2,8,21,20,Balance
4,11,24,29,Balance
1,4,17,19,Precision
6,5,18,58,Balance
14,11,24,94,Balance
13,2,15,46,Balance
12,6,19,93,Balance
6,3,16,25,Balance
25,7,20,101,Balance
7,9,34,44,Balance
9,5,23,24,Balance
6,8,21,76,Balance
17,9,22,67,Balance
8,15,36,90,Balance
5,7,28,28,Balance
2,7,20,27,Balance
10,12,27,93,Balance
10,3,16,33,Balance
9,3,16,32,Balance
10,2,28,27,Balance
6,11,24,55,Balance
1,5,18,28,Balance
6,4,22,29,Balance
5,1,21,33,Balance
10,10,42,54,Balance
7,4,39,22,Balance
10,2,15,41,Balance
5,3,20,19,Balance
6,6,33,22,Balance
5,6,30,31,Balance
9,3,29,28,Balance
4,1,21,29,Balance
