CBO,NOC,SLOC,RFC,WMC,Output
93,0,4577,100,87,Accuracy
1,0,6,45,1,Gmean1
18,0,198,119,12,Gmean1
22,0,208,125,18,Gmean1
9,0,283,98,41,Balance
14,1,211,32,19,Gmean1
9,4,88,33,20,Balance
12,0,64,40,7,Gmes
21,1,154,22,9,Gmean1
80,1,1488,145,121,Gmean1
7,0,43,21,8,Gmean1
10,0,110,47,16,Gmean1
13,0,101,23,10,Gmean1
5,0,25,21,8,Gmean1
9,0,156,60,13,Gmean1
3,0,197,34,21,Balance
5,0,28,22,9,Gmean1
5,0,25,21,8,Gmean1
5,0,25,21,8,Gmean1
12,0,101,22,9,Gmean1
3,0,115,25,12,Gmean1
3,0,26,21,8,Balance
48,0,1671,382,32,Accuracy
25,0,346,36,23,Gmean1
10,0,82,30,17,Gmean1
11,0,78,104,8,Balance
12,1,116,63,50,Gmean1
4,2,68,55,10,Gmean1
16,0,83,91,9,Gmes
2,0,16,118,2,Gmean1
18,0,271,29,16,Precision
15,0,79,67,6,Gmean1
0,0,3,94,0,Gmean1
18,0,146,17,4,Gmean1
41,0,315,22,9,Balance
11,8,152,53,40,Balance
17,0,163,23,10,Gmean1
8,0,34,16,3,Gmean1
26,0,38,16,3,Gmean1
2,0,8,25,2,Gmean1
9,0,109,23,3,Gmean1
14,0,190,18,5,Gmean1
11,0,77,15,2,Gmean1
9,0,76,22,2,Gmean1
1,0,10,52,3,Gmean1
5,0,53,19,6,Gmean1
4,0,2492,20,7,Balance
23,0,200,61,26,Gmean1
0,0,50,21,8,Gmean1
10,2,68,32,19,Gmean1
8,0,127,17,4,Gmean1
8,0,29,35,5,Gmean1
4,0,30,16,3,Gmean1
4,0,41,17,4,Gmean1
6,0,30,15,2,Gmean1
15,0,60,16,3,Gmean1
21,0,660,50,18,Precision
1,0,14,14,1,Gmean1
12,1,221,41,11,Gmean1
7,0,30,15,2,Gmean1
6,0,80,21,8,Balance
15,0,92,14,1,Balance
1,0,8,52,2,Gmean1
29,0,530,17,4,Balance
12,0,107,115,8,Balance
21,0,158,118,11,Gmean1
1,0,8,14,1,Gmean1
16,0,317,88,8,Gmean1
20,0,316,68,44,Gmean1
24,0,79,41,8,Balance
9,0,102,23,10,Gmean1
0,0,57,16,3,Gmean1
6,0,56,22,9,Gmean1
16,0,130,16,3,Balance
3,0,54,20,7,Gmean1
9,0,143,58,11,Gmean1
5,0,35,22,9,Gmean1
5,0,28,22,9,Gmean1
4,0,80,59,12,Gmean1
11,0,49,84,2,Balance
10,0,19,14,1,Gmean1
1,0,5,45,1,Gmean1
16,0,268,30,17,Gmean1
2,0,116,23,10,Balance
76,1,4668,215,150,Gmean1
11,0,128,20,7,Gmean1
10,0,116,23,10,Balance
34,0,523,58,45,Gmean1
9,0,169,19,6,Gmean1
35,1,1440,65,52,Gmean1
21,0,230,101,36,Gmean1
37,1,1052,118,105,Gmean1
11,0,109,89,13,Gmes
25,0,227,30,17,Gmean1
6,0,27,85,3,Gmean1
7,0,35,120,4,Gmean1
7,0,36,138,4,Gmean1
3,0,34,138,4,Gmean1
0,0,11,109,1,Gmean1
11,0,45,17,4,Gmean1
2,0,31,51,7,Gmean1
11,0,65,16,3,Gmean1
10,0,70,101,7,Balance
15,0,127,31,18,Gmean1
54,2,1224,112,28,Gmean1
27,0,203,117,5,Gmean1
23,0,137,119,7,Gmean1
13,0,267,30,17,Precision
12,0,90,20,7,Gmean1
16,0,326,24,11,Gmes
18,0,193,19,6,Gmean1
21,0,160,733,9,Gmean1
14,0,271,19,6,Gmean1
4,0,16,23,3,Gmean1
41,1,227,27,14,Accuracy
12,0,59,26,3,Balance
9,0,77,31,8,Gmean1
34,9,824,112,99,Gmean1
19,0,177,755,5,Gmean1
5,0,90,17,4,Gmean1
12,0,101,38,8,Gmean1
19,0,155,272,19,Gmean1
21,0,118,23,10,Precision
10,0,89,20,7,Gmean1
40,1,386,62,49,Gmean1
1,0,12,52,2,Gmean1
16,0,285,20,7,Gmes
16,0,77,22,9,Gmes
13,0,783,55,42,Gmean1
5,1,90,35,22,Balance
35,0,884,154,47,Gmean1
57,1,805,80,67,Gmean1
9,1,82,25,12,Balance
5,0,45,89,9,Gmean1
5,0,81,19,6,Gmean1
8,1,206,46,21,Gmean1
5,0,28,22,9,Gmean1
23,0,423,18,5,Fmes
60,1,2350,350,53,Gmean1
64,1,1791,297,49,Gmean1
5,0,38,40,7,Gmean1
2,3,78,33,20,Gmean1
4,0,69,43,10,Gmean1
32,0,318,35,22,Gmean1
8,0,107,31,18,Gmean1
28,0,167,93,22,Gmean1
47,1,760,76,63,Gmean1
8,1,99,45,32,Gmean1
15,0,634,49,33,Gmean1
28,2,213,116,36,Gmean1
26,1,335,114,34,Gmean1
21,3,157,92,34,Gmean1
21,2,297,134,42,Gmean1
26,1,219,130,38,Gmean1
14,0,50,17,4,Gmean1
25,0,326,35,22,Gmean1
24,0,391,30,17,Gmean1
24,0,342,33,20,Gmean1
9,0,38,93,3,Gmean1
4,0,14,26,3,Gmean1
14,21,91,20,7,Gmean1
11,0,121,90,4,Gmes
12,0,81,90,4,Gmes
3,0,33,90,4,Gmean1
15,0,132,28,8,Gmes
16,0,179,25,5,Gmes
9,0,88,34,9,Balance
9,0,55,129,17,Gmean1
1,0,45,22,9,Gmean1
53,1,923,564,31,Gmean1
13,0,123,16,3,Gmean1
10,0,24,15,2,Gmean1
4,0,32,35,5,Gmean1
7,0,173,20,7,Gmean1
1,0,5,45,1,Gmean1
6,0,95,21,8,Gmean1
25,0,624,45,13,Gmean1
3,0,53,37,7,Gmean1
28,0,271,44,31,Gmean1
2,1,27,19,6,Gmean1
3,0,8,15,2,Gmean1
3,0,14,51,3,Gmean1
11,0,153,32,19,Balance
1,0,8,56,2,Gmean1
10,0,35,16,3,Gmean1
8,0,219,16,3,Gmean1
14,0,144,31,18,Balance
17,0,238,162,8,Gmean1
37,1,1721,154,47,Gmean1
10,0,48,113,6,Gmean1
18,0,147,29,16,Balance
5,0,94,27,14,Gmes
11,0,130,41,22,Gmes
1,0,22,78,4,Gmean1
2,0,61,22,9,Gmean1
5,0,25,21,8,Gmean1
6,0,111,56,9,Gmean1
8,0,43,18,5,Gmean1
5,0,25,21,8,Gmean1
5,0,143,65,18,Gmean1
2,0,23,15,2,Gmean1
2,0,38,21,8,Gmean1
3,0,37,20,7,Gmean1
6,0,488,55,42,Gmean1
9,0,122,25,12,Gmean1
25,1,554,65,52,Gmean1
65,0,1602,76,63,Gmean1
14,0,483,154,36,Gmean1
12,0,344,41,28,Gmean1
37,0,330,115,35,Gmean1
33,1,211,36,8,Gmean1
20,1,197,61,17,Gmean1
20,0,153,36,12,Gmes
17,0,198,23,10,Gmean1
16,0,186,59,7,Gmean1
87,0,1432,133,120,Balance
13,1,50,90,6,Balance
7,11,102,23,10,Gmes
18,0,293,21,8,Gmean1
19,0,389,37,24,Precision
7,0,22,87,1,Gmean1
10,0,25,15,2,Gmean1
9,0,152,23,3,Gmean1
21,0,165,19,6,Gmean1
6,0,38,14,1,Gmean1
12,0,144,16,3,Gmean1
13,0,51,90,4,Gmean1
24,0,636,33,13,Precision
11,0,186,26,6,Gmean1
27,0,351,63,28,Gmean1
12,0,56,65,9,Gmean1
11,0,159,27,14,Gmes
12,2,330,126,14,Gmes
29,0,1458,172,60,Gmean1
26,0,201,713,8,Gmean1
16,0,185,29,16,Gmean1
5,0,97,24,11,Gmean1
8,0,82,30,17,Gmean1
1,0,17,13,0,Gmean1
7,0,17,23,1,Gmean1
3,0,27,14,1,Gmean1
10,0,292,20,7,Gmean1
12,0,304,24,11,Gmean1
3,0,14,51,3,Gmean1
6,0,11,14,1,Gmean1
7,0,24,17,4,Gmean1
41,0,635,74,61,Gmean1
81,0,4945,132,78,Balance
12,0,93,25,12,Gmean1
59,13,1452,107,94,Gmean1
8,2,146,57,44,Balance
13,0,104,29,16,Gmean1
14,0,151,32,19,Precision
4,0,39,18,5,Gmean1
16,0,109,36,23,Gmean1
0,0,1,22,0,Gmean1
6,0,581,67,54,Balance
14,1,238,58,39,Gmean1
5,0,28,22,9,Gmean1
5,0,25,21,8,Gmean1
11,0,178,62,15,Precision
4,0,80,59,12,Gmean1
2,0,56,24,11,Gmean1
12,0,157,28,15,Gmean1
10,18,1178,47,34,Gmes
52,1,1356,248,18,Gmean1
16,0,297,65,18,Gmean1
2,0,87,22,9,Gmean1
3,0,8,14,1,Gmean1
37,0,163,15,2,Gmean1
6,0,174,27,14,Gmean1
6,0,43,23,10,Gmean1
24,1,716,76,63,Gmean1
40,0,1776,72,59,Gmean1
60,0,1938,106,93,Gmean1
10,1,67,24,11,Gmean1
11,0,126,62,10,Gmean1
27,0,451,22,9,Gmean1
53,0,1085,61,8,Gmean1
20,0,99,94,10,Gmean1
12,0,130,68,15,Precision
12,0,87,63,10,Gmean1
8,0,45,27,4,Gmean1
11,0,168,89,3,Gmes
12,0,152,29,6,Gmean1
23,0,750,25,12,Gmean1
22,0,663,37,24,Precision
12,0,81,26,6,Gmean1
1,0,25,16,3,Gmean1
10,0,83,16,3,Gmean1
14,0,355,37,17,Precision
9,0,255,34,21,Gmean1
23,0,200,239,17,Gmean1
19,0,336,145,33,Gmean1
20,0,190,168,22,Precision
30,1,786,158,46,Gmean1
18,0,132,175,17,Precision
