CBO,SLOC,LCOM,DIT,Output
2,22,0,0,Balance
15,37,58,1,Balance
18,66,45,1,Balance
6,15,0,0,Balance
29,129,0,0,Fmes
53,316,86,0,Balance
11,199,73,0,Balance
3,7,0,0,Balance
3,12,0,0,Balance
3,8,0,0,Balance
5,16,0,0,Balance
5,13,0,0,Balance
8,299,0,0,Balance
5,6,0,0,Balance
3,13,0,0,Balance
6,59,0,0,Balance
2,18,0,0,Balance
0,226,0,0,Balance
0,111,0,0,Balance
13,267,81,0,Balance
14,64,0,0,Balance
8,36,41,0,Balance
10,32,0,0,Balance
35,276,83,0,Balance
11,20,0,0,Balance
4,10,0,0,Balance
12,70,16,0,Balance
17,27,0,1,Fmes
5,18,33,0,Balance
13,21,0,1,Balance
11,70,94,0,Fmes
1,5,0,0,Balance
20,216,68,1,Balance
8,47,54,0,Balance
13,48,71,0,Fmes
12,38,0,0,Balance
9,25,83,0,Balance
26,119,0,0,Fmes
3,13,0,0,Balance
7,9,0,0,Balance
6,42,50,0,Fmes
5,35,62,0,Gmean1
22,97,80,0,Precision
16,27,66,1,Gmes
21,128,88,0,Balance
19,191,47,0,Accuracy
5,18,25,0,Fmes
6,9,0,0,Balance
9,19,0,0,Balance
6,7,0,0,Balance
6,12,0,0,Balance
11,18,0,1,Balance
10,41,25,1,Fmes
14,89,75,0,Balance
14,57,78,0,Balance
23,87,85,0,Precision
7,25,0,0,Balance
3,8,0,0,Balance
51,280,80,0,Balance
7,18,0,0,Balance
12,43,33,0,Fmes
15,33,0,0,Fmes
3,18,0,0,Balance
7,18,0,0,Balance
2,19,60,0,Balance
21,72,0,1,Balance
24,88,83,0,Balance
1,13,75,0,Balance
22,94,87,0,Balance
4,46,0,0,Balance
12,476,71,0,Balance
17,166,80,1,Balance
22,210,0,1,Fmes
36,215,75,0,Balance
3,16,16,0,Balance
9,54,64,0,Balance
7,20,0,0,Balance
14,56,75,0,Fmes
9,29,0,0,Balance
2,24,60,0,Balance
5,6,0,0,Balance
2,116,0,0,Balance
7,12,0,0,Balance
12,131,50,0,Balance
15,49,50,0,Gmes
14,36,0,0,Balance
18,78,57,0,Balance
4,41,0,0,Balance
6,43,50,0,Fmes
8,34,0,0,Balance
4,13,0,0,Balance
8,62,0,0,Balance
2,13,0,0,Balance
0,28,0,0,Balance
19,186,88,0,Balance
2,22,0,0,Balance
9,42,83,1,Fmes
6,35,83,0,Fmes
19,50,33,0,Accuracy
8,41,0,0,Balance
13,25,0,0,Balance
3,17,0,0,Balance
8,32,0,0,Balance
73,434,81,0,Balance
3,7,0,0,Balance
8,52,67,0,Fmes
6,24,50,0,Balance
19,97,75,0,Balance
15,51,27,1,Fmes
14,32,50,1,Gmean1
15,79,75,0,Gmes
2,6,0,0,Balance
3,6,0,0,Balance
1,8,0,0,Balance
2,14,0,0,Balance
2,14,0,0,Balance
3,6,0,0,Balance
4,16,0,0,Balance
2,14,0,0,Balance
2,50,0,0,Balance
2,22,0,1,Balance
18,161,68,1,Gmean1
10,11,0,1,Balance
10,13,0,1,Balance
7,117,72,0,Balance
14,30,33,0,Balance
7,17,0,0,Balance
40,216,77,0,Balance
0,6,0,0,Balance
36,272,43,1,Balance
17,30,50,0,Balance
8,11,0,1,Balance
28,334,70,1,Precision
6,39,48,0,Balance
14,38,60,0,Balance
6,13,0,0,Balance
15,22,0,0,Fmes
48,340,80,0,Balance
17,35,50,0,Balance
4,10,0,0,Balance
7,14,0,0,Balance
40,261,83,0,Precision
7,7,0,0,Balance
4,9,0,0,Balance
4,10,0,0,Balance
13,30,0,0,Balance
3,6,0,0,Balance
8,21,0,1,Balance
6,8,0,1,Balance
9,52,0,1,Balance
15,13,0,0,Balance
10,43,33,1,Fmes
8,43,0,0,Balance
11,69,64,0,Gmean1
14,131,100,0,Balance
11,17,0,0,Balance
3,9,0,0,Balance
34,196,63,0,Fmes
4,48,75,0,Balance
5,40,0,0,Balance
12,32,0,0,Balance
23,171,64,0,Balance
3,11,0,1,Balance
49,209,80,0,Precision
18,50,33,1,Gmes
11,46,60,0,Balance
3,5,0,0,Balance
5,42,66,0,Balance
44,220,79,2,Balance
24,279,90,1,Balance
17,122,62,1,Gmean1
12,613,67,0,Gmean1
54,258,85,0,Balance
2,8,0,0,Balance
9,36,50,0,Balance
25,160,80,0,Balance
9,179,80,0,Fmes
77,579,69,0,Gmean1
63,1083,97,0,Balance
7,16,0,0,Balance
2,20,0,0,Balance
1,11,0,0,Balance
7,12,0,0,Balance
2,30,0,0,Balance
10,52,0,0,Balance
20,74,0,0,Balance
1,8,0,0,Balance
14,34,0,0,Balance
5,28,62,0,Balance
5,43,65,0,Balance
1,20,0,0,Balance
8,43,55,0,Balance
10,18,16,0,Balance
8,49,22,0,Balance
9,49,50,0,Balance
5,34,50,0,Balance
3,27,50,0,Balance
10,278,95,0,Balance
27,193,92,1,Balance
5,93,0,0,Balance
29,339,89,0,Balance
3,10,0,0,Balance
20,80,72,0,Precision
1,10,0,0,Balance
1,10,0,0,Balance
25,168,75,0,Precision
17,120,96,0,Gmes
12,116,80,2,Balance
13,31,75,2,Balance
35,179,56,1,Gmean1
36,204,76,0,Precision
13,22,0,1,Balance
4,30,30,0,Fmes
4,46,0,0,Balance
7,21,0,0,Balance
8,20,0,0,Balance
2,22,0,0,Balance
28,836,89,0,Balance
13,46,45,1,Balance
12,45,16,1,Balance
8,81,77,0,Balance
3,6,0,0,Balance
9,81,66,0,Balance
2,11,0,0,Balance
4,9,0,0,Balance
11,50,0,0,Balance
2,6,0,0,Balance
0,186,0,0,Balance
3,14,0,0,Balance
6,18,0,0,Balance
4,14,0,0,Balance
7,16,0,0,Balance
25,199,73,0,Balance
22,91,44,0,Balance
22,182,31,1,Balance
24,67,25,0,Fmes
16,85,40,0,Balance
98,1162,91,2,Balance
46,327,93,0,Balance
23,162,77,1,Gmes
19,142,67,0,Gmes
14,22,0,0,Balance
21,53,0,0,Fmes
42,261,0,0,Fmes
7,14,0,0,Balance
28,214,73,0,Balance
2,18,58,0,Balance
20,91,65,0,Gmes
1,8,0,0,Balance
62,696,90,0,Balance
2,24,50,0,Balance
14,26,0,0,Balance
3,9,0,0,Balance
26,156,96,0,Balance
22,161,0,0,Fmes
9,11,0,1,Balance
6,9,0,1,Balance
7,15,0,1,Balance
16,90,68,0,Fmes
14,71,55,0,Balance
16,67,25,1,Balance
6,7,0,0,Balance
26,174,53,0,Balance
11,107,40,0,Fmes
12,27,0,0,Balance
2,14,66,0,Accuracy
10,26,0,1,Balance
9,25,0,0,Balance
15,25,41,1,Balance
11,39,0,0,Balance
19,69,74,1,Balance
3,5,0,0,Balance
7,57,65,0,Balance
23,75,33,1,Gmes
38,131,33,0,Balance
6,20,0,1,Balance
23,119,42,0,Balance
54,306,91,0,Balance
18,24,50,0,Balance
13,18,0,0,Balance
18,735,0,0,Balance
20,67,80,1,Balance
13,72,0,0,Balance
7,75,63,0,Balance
12,53,70,0,Gmean1
2,5,0,0,Balance
