CBO,RFC,SLOC,LCOM,DIT,Output
3,15,11,0,0,Balance
26,16,109,25,1,Balance
5,16,13,0,1,Balance
4,16,20,50,0,Balance
14,21,94,58,0,Balance
19,15,62,0,0,Accuracy
7,137,12,0,3,Gmean1
41,25,146,44,1,Balance
5,20,60,67,0,Balance
21,18,41,0,0,Accuracy
20,76,75,0,2,Balance
11,22,72,76,0,precision
20,88,103,77,2,Fmes
11,47,401,90,1,Balance
8,54,630,92,1,Balance
8,44,290,90,1,Balance
15,43,134,0,1,Balance
15,54,747,91,1,Balance
6,29,36,0,1,Balance
8,48,418,91,1,Balance
40,27,392,78,2,Balance
1,65,6,0,2,Balance
20,68,126,70,1,Gmean1
18,79,240,0,2,Balance
27,79,237,85,2,Balance
15,75,82,0,2,Balance
15,74,102,0,2,Accuracy
11,72,103,0,2,Accuracy
12,15,18,0,0,Balance
46,87,703,95,2,Balance
0,85,5,0,3,Balance
9,80,94,0,2,Accuracy
19,97,439,0,3,Balance
16,71,86,0,2,Fmes
29,126,1055,59,2,Balance
1,15,14,0,0,Balance
8,71,74,0,2,Accuracy
14,84,459,0,4,Fmes
21,83,166,82,2,Fmes
1,58,7,50,0,Balance
5,22,43,87,0,Balance
5,46,22,0,4,Accuracy
7,43,55,50,3,Balance
11,28,62,0,0,Balance
10,61,40,85,4,Balance
12,84,46,0,5,Balance
8,65,88,90,4,Balance
10,63,63,81,4,Balance
9,59,34,80,4,Balance
9,77,27,83,6,Balance
12,60,43,83,4,Balance
18,65,107,72,4,Balance
5,61,27,0,5,Accuracy
6,61,36,0,5,Accuracy
18,55,98,55,3,Balance
3,33,14,100,2,Balance
17,57,156,75,2,Balance
26,57,178,0,0,Balance
3,59,4,0,2,Balance
9,35,164,80,2,Fmes
5,16,16,0,0,Balance
5,17,23,0,0,Balance
9,16,34,44,0,Balance
7,22,115,70,0,Balance
1,49,4,0,0,Balance
6,30,53,0,0,Balance
9,36,121,83,1,Balance
