CBO,WMC,SLOC,Output
0,0,5,Accuracy
0,4,92,Accuracy
25,14,212,Accuracy
5,1,64,Accuracy
13,7,116,Accuracy
6,7,37,Accuracy
0,0,1,Accuracy
111,61,1532,Accuracy
6,5,67,Accuracy
47,15,509,Balance
10,1,21,Accuracy
9,2,51,Accuracy
6,10,53,Accuracy
12,4,74,Accuracy
27,32,290,Accuracy
8,2,67,Accuracy
9,5,80,Accuracy
9,12,21,Accuracy
3,4,7,Accuracy
6,3,32,Accuracy
45,58,624,Balance
5,11,148,Accuracy
0,1,6,Accuracy
1,2,18,Accuracy
22,11,252,Accuracy
10,4,83,Accuracy
62,127,1786,Accuracy
1,1,10,Accuracy
9,16,195,Accuracy
3,3,21,Accuracy
12,6,64,Accuracy
16,19,189,Accuracy
2,2,13,Accuracy
3,2,11,Accuracy
3,2,11,Accuracy
6,2,64,Accuracy
4,4,39,Accuracy
11,9,109,Accuracy
0,4,23,Accuracy
9,1,39,Accuracy
3,3,17,Accuracy
6,1,16,Accuracy
11,8,147,Accuracy
11,1,43,Accuracy
5,3,50,Accuracy
4,1,225,Accuracy
3,1,94,Accuracy
6,1,11,Accuracy
6,12,81,Accuracy
3,1,8,Accuracy
29,4,96,Fmes
2,1,11,Accuracy
8,1,38,Accuracy
1,3,16,Accuracy
16,9,173,Accuracy
19,6,68,Accuracy
4,1,50,Accuracy
2,2,12,Accuracy
7,3,23,Accuracy
8,4,37,Accuracy
12,4,71,Accuracy
14,3,107,Accuracy
18,3,91,Accuracy
23,25,276,Accuracy
1,3,17,Accuracy
5,1,36,Accuracy
18,3,95,Accuracy
5,2,35,Accuracy
18,3,363,Accuracy
18,4,130,Accuracy
44,6,291,Balance
26,5,308,Accuracy
2,1,12,Accuracy
10,11,154,Accuracy
11,2,16,Accuracy
8,3,37,Accuracy
6,1,16,Accuracy
9,5,104,Accuracy
6,2,18,Accuracy
16,1,41,Accuracy
3,1,8,Accuracy
2,1,7,Accuracy
59,19,803,Accuracy
5,6,68,Accuracy
4,8,55,Accuracy
1,8,41,Accuracy
0,3,15,Accuracy
1,1,9,Accuracy
20,6,227,Accuracy
18,3,112,Accuracy
6,17,347,Accuracy
2,3,16,Accuracy
19,17,466,Accuracy
42,66,832,Accuracy
8,2,31,Accuracy
15,7,130,Accuracy
6,2,182,Accuracy
0,1,6,Accuracy
