CBO,SLOC,Output
2,25,Gmes
12,64,Gmes
1,36,Gmes
8,149,Gmes
1,37,Gmes
40,479,Gmes
8,43,Gmes
11,46,Gmes
7,71,Gmes
30,203,Gmes
15,45,Gmes
9,20,Gmes
12,56,Balance
12,31,Gmes
3,5,Gmes
4,32,Gmes
3,4,Gmes
3,8,Gmes
15,243,Gmes
0,79,Gmes
3,79,Gmes
4,51,Gmes
11,68,Gmes
5,39,Gmes
23,130,Gmean1
14,70,Gmes
31,432,Gmes
8,49,Gmes
1,24,Gmes
2,23,Gmes
6,18,Gmes
17,117,Gmean1
3,13,Gmes
7,85,Gmes
1,14,Gmes
6,13,Gmes
1,14,Gmes
6,26,Gmes
6,26,Gmes
12,119,Gmean1
18,125,Gmes
5,27,Gmes
26,103,Gmes
15,85,Gmean1
24,159,Gmean1
7,28,Gmes
11,402,Accuracy
4,4,Gmes
7,40,Gmes
6,6,Gmes
3,5,Gmes
13,186,Gmes
5,11,Gmes
7,118,Gmes
4,53,Gmes
2,71,Gmes
1,8,Gmes
0,9,Gmes
7,41,Gmes
20,118,Gmes
4,36,Gmes
15,73,Gmes
6,40,Gmes
8,48,Gmes
3,13,Gmes
1,32,Gmes
28,270,Gmes
7,239,Gmes
16,49,Accuracy
1,60,Gmes
5,63,Gmes
4,10,Gmes
17,166,Gmes
11,31,Gmes
14,47,Gmes
19,78,Gmes
9,20,Gmes
3,20,Gmes
3,5,Gmes
13,86,Accuracy
8,58,Gmes
7,49,Gmes
5,56,Gmes
4,74,Gmes
11,123,Accuracy
7,245,Gmes
5,82,Gmes
8,31,Gmes
28,163,Gmes
14,42,Gmes
11,34,Gmes
11,44,Gmes
11,37,Gmes
6,30,Gmes
11,126,Gmes
35,359,Gmes
3,48,Gmes
7,32,Gmes
1,11,Gmes
2,8,Gmes
12,250,Accuracy
4,154,Accuracy
34,469,Gmes
1,14,Gmes
9,41,Gmes
11,37,Gmes
10,39,Gmes
1,29,Gmes
2,7,Gmes
2,14,Gmes
18,78,Gmes
3,71,Gmes
18,121,Gmean1
8,207,Gmes
3,4,Gmes
3,10,Gmes
4,76,Gmes
3,18,Gmes
13,226,Accuracy
4,26,Gmean1
