Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
com.yammer.metrics.core.NoOpCounter,2,0,8,21,20,1,100,no
com.yammer.metrics.core.NoOpExecutorService,11,0,17,30,82,0,0,no
com.yammer.metrics.core.NoOpGuage,1,0,2,15,6,1,100,no
com.yammer.metrics.core.NoOpHistogram,2,0,12,25,28,1,100,no
com.yammer.metrics.core.NoOpMeter,4,0,11,24,29,1,100,no
com.yammer.metrics.core.NoOpTimer,6,0,18,31,42,1,100,no
org.apache.giraph.aggregators.BasicAggregator,1,24,4,17,19,0,0,yes
org.apache.giraph.aggregators.BooleanAndAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.BooleanOrAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.BooleanOverwriteAggregator,1,0,2,19,11,1,0,no
org.apache.giraph.aggregators.DoubleMaxAggregator,3,0,2,19,11,1,0,yes
org.apache.giraph.aggregators.DoubleMinAggregator,3,0,2,19,11,1,0,no
org.apache.giraph.aggregators.DoubleOverwriteAggregator,1,0,2,19,11,1,0,no
org.apache.giraph.aggregators.DoubleProductAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.DoubleSumAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.FloatMaxAggregator,3,0,2,19,11,1,0,yes
org.apache.giraph.aggregators.FloatMinAggregator,3,0,2,19,11,1,0,no
org.apache.giraph.aggregators.FloatOverwriteAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.FloatProductAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.FloatSumAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.IntMaxAggregator,3,0,2,19,11,1,0,no
org.apache.giraph.aggregators.IntMinAggregator,3,0,2,19,11,1,0,no
org.apache.giraph.aggregators.IntOverwriteAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.IntProductAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.IntSumAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.LongMaxAggregator,3,0,2,19,11,1,0,no
org.apache.giraph.aggregators.LongMinAggregator,3,0,2,19,11,1,0,no
org.apache.giraph.aggregators.LongOverwriteAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.LongProductAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.LongSumAggregator,1,0,2,19,10,1,0,no
org.apache.giraph.aggregators.TestAggregatorsHandling,36,0,5,36,117,1,0,yes
org.apache.giraph.aggregators.TestBooleanAggregators,4,0,3,16,40,0,0,no
org.apache.giraph.aggregators.TestDoubleAggregators,6,0,5,18,58,0,0,no
org.apache.giraph.aggregators.TestFloatAggregators,6,0,5,18,58,0,0,no
org.apache.giraph.aggregators.TestIntAggregators,6,0,5,18,58,0,0,no
org.apache.giraph.aggregators.TestLongAggregators,6,0,5,18,58,0,0,no
org.apache.giraph.aggregators.TextAggregatorWriter,8,0,5,20,59,1,72,yes
org.apache.giraph.aggregators.TextAppendAggregator,1,0,2,19,11,1,0,no
org.apache.giraph.benchmark.AggregatorsBenchmark,15,0,6,24,122,1,66,no
org.apache.giraph.benchmark.AggregatorsBenchmark.AggregatorsBenchmarkMasterCompute,6,0,2,35,27,2,0,no
org.apache.giraph.benchmark.AggregatorsBenchmark.AggregatorsBenchmarkWorkerContext,2,0,4,32,32,2,0,yes
org.apache.giraph.benchmark.BenchmarkOption,4,0,12,25,78,0,90,yes
org.apache.giraph.benchmark.GiraphBenchmark,9,5,5,18,55,0,70,yes
org.apache.giraph.benchmark.PageRankBenchmark,13,0,3,21,29,1,0,yes
org.apache.giraph.benchmark.RandomMessageBenchmark,14,0,3,21,198,1,81,no
org.apache.giraph.benchmark.RandomMessageBenchmark.RandomMessageBenchmarkMasterCompute,6,0,1,34,14,2,0,no
org.apache.giraph.benchmark.RandomMessageBenchmark.RandomMessageBenchmarkWorkerContext,7,0,8,32,100,1,80,no
org.apache.giraph.benchmark.ShortestPathsBenchmark,16,0,3,21,36,1,44,yes
org.apache.giraph.benchmark.WeightedPageRankBenchmark,21,0,3,21,94,1,38,yes
org.apache.giraph.bsp.BspInputFormat,11,0,3,16,41,1,66,no
org.apache.giraph.bsp.BspInputSplit,7,0,9,22,38,1,55,no
org.apache.giraph.bsp.BspOutputFormat,8,0,3,16,32,1,33,yes
org.apache.giraph.bsp.BspRecordReader,3,0,6,19,33,1,77,no
org.apache.giraph.bsp.BspRecordWriter,4,0,2,15,13,1,0,no
org.apache.giraph.bsp.BspService,28,2,44,57,686,0,95,yes
org.apache.giraph.bsp.ImmutableOutputCommitter,2,0,6,19,22,1,0,yes
org.apache.giraph.BspCase,20,14,18,31,178,0,90,yes
org.apache.giraph.comm.aggregators.AggregatorUtils,10,0,6,19,51,0,93,yes
org.apache.giraph.comm.aggregators.AllAggregatorServerData,14,0,11,24,94,0,72,yes
org.apache.giraph.comm.aggregators.CountingCache,3,2,3,16,19,0,0,no
org.apache.giraph.comm.aggregators.CountingOutputStream,5,2,5,18,29,0,30,no
org.apache.giraph.comm.aggregators.OwnerAggregatorServerData,10,0,8,21,67,0,57,yes
org.apache.giraph.comm.ConnectionTest,16,0,4,17,98,0,0,yes
org.apache.giraph.comm.IncreasingBitSetTest,1,0,3,16,53,0,0,no
