Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
net.sf.jabref.ArchitectureTests,11,0,4,17,55,67,0,no
net.sf.jabref.BibDatabaseTest,7,0,3,16,21,0,0,no
net.sf.jabref.bibtex.BibEntryWriter,19,0,8,21,97,75,0,yes
net.sf.jabref.bibtex.BibEntryWriterTest,16,0,13,26,236,53,0,no
net.sf.jabref.bibtex.BibtexEntryAssert,15,0,3,16,30,0,0,yes
net.sf.jabref.bibtex.comparator.BibtexStringComparator,3,0,2,15,33,0,0,no
net.sf.jabref.bibtex.comparator.BibtexStringComparatorTest,3,0,1,14,23,0,0,no
net.sf.jabref.bibtex.comparator.CrossRefEntryComparator,4,0,1,14,22,0,0,yes
net.sf.jabref.bibtex.comparator.EntryComparator,9,0,4,17,90,25,0,no
net.sf.jabref.bibtex.comparator.FieldComparator,16,0,5,18,115,62,0,no
net.sf.jabref.bibtex.comparator.FieldComparatorStack,2,0,2,15,16,0,0,no
net.sf.jabref.bibtex.DuplicateCheck,12,0,8,21,189,83,0,yes
net.sf.jabref.bibtex.DuplicateCheckTest,7,0,3,16,58,0,0,no
net.sf.jabref.bibtex.EntryTypes,11,0,10,23,64,55,0,yes
net.sf.jabref.bibtex.EntryTypesTestBibLatex,7,0,5,18,34,60,0,no
net.sf.jabref.bibtex.EntryTypesTestBibtex,10,0,5,18,39,60,0,no
net.sf.jabref.BibtexTestData,6,0,2,15,29,0,0,no
net.sf.jabref.bst.BibtexCaseChanger,5,0,8,21,209,79,0,yes
net.sf.jabref.bst.BibtexCaseChangersTest,3,0,7,20,100,0,0,no
net.sf.jabref.bst.BibtexNameFormatter,8,0,5,18,239,0,0,yes
net.sf.jabref.bst.BibtexNameFormatterTest,4,0,8,21,91,0,0,no
net.sf.jabref.bst.BibtexPurify,5,0,1,14,56,0,0,yes
net.sf.jabref.bst.BibtexPurifyTest,2,0,2,15,22,0,0,no
net.sf.jabref.bst.BibtexTextPrefix,3,0,1,14,44,0,0,no
net.sf.jabref.bst.BibtexWidth,4,0,3,16,189,66,0,yes
net.sf.jabref.bst.BibtexWidthTest,2,0,3,16,25,0,0,no
net.sf.jabref.bst.ChangeCaseFunction,9,0,2,15,24,0,0,yes
net.sf.jabref.bst.FormatNameFunction,11,0,2,15,33,0,0,yes
net.sf.jabref.bst.PurifyFunction,8,0,2,15,20,0,0,no
net.sf.jabref.bst.TestVM,19,0,33,46,534,0,0,yes
net.sf.jabref.bst.TextPrefixFunction,9,0,2,15,26,0,0,yes
net.sf.jabref.bst.TextPrefixFunctionTest,2,0,2,15,22,0,0,no
net.sf.jabref.bst.VM,28,0,31,44,836,89,0,yes
net.sf.jabref.bst.VM.BstEntry,3,0,3,16,15,75,0,yes
net.sf.jabref.bst.VM.Identifier,1,0,2,15,9,0,0,no
net.sf.jabref.bst.VM.MacroFunction,4,0,2,15,9,0,0,yes
