classname,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
jEdit-de-masters_of_disaster-ant-tasks-ar-Ar-Ar.java,14,0,7,20,255,1,65,no
jEdit-de-masters_of_disaster-ant-tasks-ar-Ar-ArFileSet.java,2,0,11,24,44,1,83,no
jEdit-de-masters_of_disaster-ant-tasks-ar-Ar-ArLongFileMode.java,1,0,8,21,34,1,85,no
jEdit-de-masters_of_disaster-ant-tasks-ar-ArEntry-ArEntry.java,7,0,24,37,120,0,81,no
jEdit-de-masters_of_disaster-ant-tasks-ar-ArOutputStream-ArOutputStream.java,8,0,7,32,94,0,74,no
jEdit-de-masters_of_disaster-ant-tasks-ar-ArUtils-ArUtils.java,4,0,6,19,75,0,0,no
jEdit-de-masters_of_disaster-ant-tasks-calculatesize-CalculateSize-CalculateSize.java,5,0,5,18,47,1,60,no
jEdit-de-masters_of_disaster-ant-tasks-deb-Deb-Deb.java,8,0,10,23,241,1,79,no
jEdit-doclet-GenerateTocXML-GenerateTocXML.java,8,0,6,19,84,0,83,no
jEdit-installer-CBZip2InputStream-CBZip2InputStream.java,4,0,30,53,780,0,89,no
jEdit-installer-CBZip2OutputStream-CBZip2OutputStream.java,6,0,34,53,1595,0,92,no
jEdit-installer-CBZip2OutputStream-StackElem.java,0,0,0,13,5,0,0,no
jEdit-installer-ConsoleInstall-ConsoleInstall.java,15,0,2,15,95,0,50,no
jEdit-installer-ConsoleProgress-ConsoleProgress.java,3,0,5,18,21,0,0,no
jEdit-installer-CRC-CRC.java,0,0,4,17,92,0,50,no
jEdit-installer-Install-Install.java,25,0,7,20,114,0,64,no
jEdit-installer-InstallThread-InstallThread.java,18,0,3,89,88,0,22,no
jEdit-installer-NonInteractiveInstall-NonInteractiveInstall.java,11,0,1,14,58,0,0,no
jEdit-installer-OperatingSystem-OperatingSystem.java,10,3,4,17,280,0,75,no
jEdit-installer-OperatingSystem-MacOS.java,1,0,2,24,10,2,0,no
jEdit-installer-OperatingSystem-OSTask.java,4,3,9,22,45,0,75,yes
jEdit-installer-OperatingSystem-Unix.java,13,1,5,22,129,1,0,no
jEdit-installer-OperatingSystem-ManPageOSTask.java,9,0,3,25,25,1,0,no
