CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,ALTER
0,0,5,5,23,2,0,no
29,0,22,22,876,1,92,yes
4,0,7,7,71,1,71,yes
1,0,6,6,124,1,91,yes
0,0,2,2,20,2,0,no
0,1,12,12,52,1,77,no
1,0,6,18,57,2,66,no
0,0,3,3,29,1,66,no
1,0,1,30,6,4,100,yes
1,0,14,68,64,2,76,no
5,0,17,75,104,3,88,no
0,2,4,58,21,2,100,yes
1,0,6,64,22,3,100,no
1,3,2,23,11,3,100,yes
8,0,35,58,373,4,89,yes
5,0,10,33,69,4,75,yes
3,0,7,28,32,3,92,yes
2,0,7,7,116,2,64,yes
8,0,14,37,130,4,80,yes
6,6,30,84,206,2,91,yes
3,0,13,97,88,3,89,no
6,0,17,101,86,3,85,no
0,0,4,4,15,2,100,no
4,0,14,98,77,3,82,no
0,0,0,84,3,3,0,no
12,0,15,99,165,3,85,yes
5,0,11,66,72,3,81,yes
8,0,7,91,56,3,80,yes
1,7,2,23,11,3,100,yes
3,0,9,32,79,4,71,yes
2,0,5,28,25,4,100,yes
4,0,12,35,113,4,79,yes
3,0,12,35,86,4,77,yes
3,0,6,29,29,4,100,yes
10,0,9,30,99,3,53,yes
3,0,6,29,41,4,66,yes
3,0,8,31,61,4,81,yes
5,0,7,28,51,3,100,yes
10,0,10,10,125,1,68,yes
10,0,3,3,40,1,66,yes
0,0,4,4,15,2,100,no
10,0,5,5,55,1,53,yes
5,0,10,10,148,2,76,yes
19,0,28,28,386,1,90,yes
3,0,2,2,33,1,0,yes
2,1,8,8,40,1,66,yes
1,0,3,11,19,2,66,no
2,0,3,3,14,1,0,yes
1,0,3,3,13,1,33,no
1,3,4,4,18,1,50,yes
9,0,15,15,154,1,89,yes
5,0,3,3,162,1,0,no
6,0,3,7,42,2,58,yes
4,0,2,6,17,2,0,yes
3,0,6,6,31,1,16,no
5,0,2,6,17,2,0,yes
13,0,12,12,82,1,63,no
0,0,3,3,12,2,100,no
6,0,8,8,55,1,0,yes
0,0,4,4,14,2,100,no
12,0,7,7,116,2,67,yes
3,0,1,1,7,1,0,yes
0,0,2,2,9,1,50,no
0,0,2,2,9,1,50,no
8,12,21,21,116,2,86,yes
3,2,8,29,56,3,75,yes
1,0,5,5,27,2,60,no
2,0,7,7,48,1,71,no
18,0,46,46,321,1,92,yes
0,0,5,5,30,2,50,no
2,0,4,4,44,2,81,yes
14,0,37,37,408,2,93,yes
0,0,2,2,25,1,0,yes
2,0,1,1,5,2,0,yes
4,0,13,13,68,2,88,yes
2,0,5,5,59,2,53,yes
2,0,7,7,80,2,73,yes
3,0,15,15,99,2,78,no
4,0,3,3,53,1,77,yes
4,12,3,3,20,1,66,yes
0,0,1,1,69,1,100,no
4,0,15,15,191,1,82,yes
6,0,5,5,41,1,80,yes
8,0,3,3,42,1,77,yes
4,0,3,3,24,1,66,yes
2,0,2,2,28,1,50,yes
7,0,4,4,45,1,75,yes
8,0,7,10,89,2,73,yes
7,0,3,3,42,1,66,yes
6,0,5,5,44,1,80,yes
3,0,3,3,28,1,66,yes
7,0,7,10,60,2,85,yes
2,0,3,6,19,2,50,no
6,0,2,5,19,2,50,no
9,0,4,7,59,2,75,no
6,0,2,5,24,2,50,no
7,0,3,3,26,1,66,yes
5,0,4,4,42,1,75,yes
4,0,3,3,32,1,66,yes
