CBO,NOC,RFC,SLOC,DIT,LCOM,WMC,Change
15,0,34,299,1,84,59,yes
61,0,22,572,1,95,88,yes
17,0,34,128,3,78,24,no
14,0,4,80,2,42,10,yes
33,0,52,528,3,81,104,yes
5,0,41,523,1,87,79,yes
14,0,18,319,2,83,41,yes
13,0,26,44,2,91,6,no
13,0,27,95,2,75,14,no
17,0,32,174,2,75,30,yes
15,0,28,104,2,77,16,yes
18,0,27,91,2,64,10,no
20,0,31,188,2,79,35,no
13,0,27,94,2,75,14,no
18,0,29,218,2,68,38,no
20,0,33,231,3,74,36,no
27,1,106,504,4,89,105,no
14,1,122,188,5,46,43,no
9,0,6,147,2,53,20,no
98,0,106,2456,2,95,466,yes
7,0,4,97,2,43,12,no
27,0,27,337,2,86,55,yes
38,4,78,1220,3,94,240,yes
10,4,117,105,4,88,25,no
18,0,38,183,1,100,44,no
10,0,30,187,2,73,33,no
22,0,37,241,3,81,54,no
9,1,29,111,2,75,17,yes
18,2,32,332,2,90,56,no
18,0,89,123,3,75,24,no
22,0,15,526,2,77,106,yes
2,0,6,45,1,33,9,no
26,0,29,554,2,86,80,yes
18,1,99,249,3,83,54,yes
8,0,18,505,1,85,60,no
0,0,0,4,1,0,0,no
2,0,4,151,1,44,24,no
2,0,9,75,1,57,15,no
0,0,0,4,1,0,0,no
13,0,4,171,1,50,22,yes
2,0,15,138,1,68,32,no
0,0,1,5,1,0,1,no
3,0,2,45,1,50,9,no
15,0,6,161,1,59,24,yes
11,0,12,212,2,79,26,yes
6,0,4,102,1,52,27,yes
5,7,7,40,1,77,10,yes
14,0,32,171,3,72,33,no
22,0,36,210,3,82,36,no
11,0,31,263,2,79,49,no
11,0,30,137,2,78,21,yes
0,0,9,114,2,84,27,no
21,0,35,201,3,80,36,no
13,0,33,445,2,83,84,yes
39,0,95,1141,1,94,242,yes
1,0,2,12,1,0,2,no
19,0,95,457,3,78,94,yes
21,0,34,196,3,76,36,no
39,0,118,975,4,90,228,yes
25,0,127,465,5,71,116,yes
21,0,34,194,3,80,40,no
17,0,5,164,2,46,25,no
4,0,9,84,1,76,17,no
15,0,33,112,3,69,20,no
2,0,2,46,2,0,4,no
3,0,10,118,2,79,20,yes
3,0,7,80,2,66,14,no
13,0,11,982,1,71,200,no
54,0,149,2079,4,93,430,yes
7,0,6,236,1,0,57,no
18,0,9,696,1,70,137,yes
0,0,0,4,1,0,0,no
1,0,0,7,1,0,0,no
2,0,0,5,1,0,0,no
5,0,0,9,1,0,0,no
1,0,0,5,1,0,0,no
30,0,126,583,5,61,140,yes
29,0,116,365,5,75,66,no
19,0,124,56,6,0,15,no
11,0,6,222,1,76,33,yes
3,0,6,41,1,16,10,yes
23,3,78,695,2,97,133,yes
1,0,1,10,1,0,1,no
21,0,105,567,3,70,75,yes
2,0,21,195,1,35,37,no
23,0,13,353,2,76,30,yes
4,0,5,24,2,0,6,no
7,0,2,33,1,0,7,no
2,0,3,39,2,33,3,no
1,0,3,19,2,0,3,no
12,0,6,234,1,73,28,yes
0,0,11,73,1,0,19,no
0,0,11,55,1,0,15,no
8,0,53,323,2,78,36,yes
11,0,3,106,2,6,3,yes
13,0,4,212,1,58,54,no
13,0,60,240,2,60,43,yes
7,0,9,372,1,60,92,no
16,0,53,346,2,65,39,no
1,0,2,15,1,0,3,no
15,0,9,147,2,72,23,no
4,0,9,229,1,41,18,no
0,0,10,117,1,19,27,no
12,0,5,460,2,55,8,no
5,0,8,183,2,67,39,no
6,0,7,195,2,48,17,no
0,0,1,12,1,0,1,no
13,4,6,137,1,0,27,no
0,0,11,42,1,0,11,no
8,0,13,123,1,40,29,no
8,0,4,70,2,41,8,no
5,0,25,57,2,68,13,no
21,0,7,374,2,56,58,no
14,0,63,257,2,75,47,no
21,0,73,482,2,79,92,no
31,0,72,494,2,83,89,yes
31,0,72,479,2,83,82,yes
3,0,20,224,1,56,43,no
20,0,75,507,2,78,82,no
0,0,11,56,1,0,13,no
32,0,55,817,2,91,173,yes
3,0,1,23,1,0,5,no
13,0,20,471,1,74,97,no
22,1,31,343,2,78,55,no
0,0,11,69,1,18,13,no
22,0,62,416,2,56,89,no
3,0,12,163,2,77,30,no
2,0,21,452,1,76,74,yes
6,17,34,105,1,93,34,no
13,0,21,567,2,84,113,no
5,0,2,84,1,44,12,no
2,0,24,39,2,28,9,no
9,0,13,282,2,74,60,no
0,0,40,65,2,0,15,no
0,0,4,70,2,59,14,no
11,0,56,154,2,43,30,no
11,0,57,191,2,59,33,no
4,0,5,152,1,62,35,yes
15,0,60,270,2,68,38,no
8,0,5,89,1,22,24,yes
25,0,70,352,2,78,62,no
7,0,5,73,1,23,19,yes
6,0,5,78,1,28,18,yes
4,0,5,59,1,19,15,yes
16,0,60,234,2,65,36,no
13,0,5,158,1,35,28,yes
10,0,48,154,2,52,18,no
4,0,5,54,1,19,14,yes
29,0,99,229,4,87,31,yes
4,0,14,79,1,53,18,no
20,0,62,214,2,65,37,no
4,0,5,109,1,42,28,yes
15,0,60,240,2,68,36,no
1,0,8,105,1,82,15,no
0,0,11,102,1,78,21,yes
1,0,2,153,1,0,25,no
3,0,1,37,1,0,4,no
2,0,29,421,2,69,60,yes
1,0,5,66,1,28,13,no
4,2,12,39,1,93,14,yes
3,0,11,105,1,18,15,no
4,0,13,163,1,28,18,no
6,0,5,77,2,60,11,no
10,0,13,287,1,86,43,yes
6,0,6,159,2,50,14,no
3,0,7,58,2,39,11,no
2,0,33,484,2,77,86,yes
1,0,10,163,1,89,19,no
6,0,20,88,2,0,20,yes
6,0,19,37,2,0,9,yes
7,0,18,48,2,0,8,yes
7,0,23,178,2,80,30,yes
10,7,12,102,1,58,18,yes
10,0,26,282,2,92,68,yes
7,0,18,51,2,0,11,yes
8,0,20,65,2,0,12,yes
4,0,6,72,2,58,8,no
5,0,9,139,1,59,23,no
6,0,9,153,2,68,18,no
3,0,4,21,2,0,5,no
0,0,10,50,1,60,10,no
9,0,35,253,2,73,30,no
6,0,2,59,2,4,2,no
4,2,16,52,1,87,16,no
4,1,18,7,2,0,2,no
5,2,14,40,1,75,14,no
1,0,1,11,1,0,1,no
21,0,42,271,3,75,48,no
12,0,27,194,2,46,14,yes
6,0,24,46,2,0,11,no
2,0,15,144,1,6,36,no
3,0,8,192,1,75,34,no
2,0,22,228,1,56,43,no
0,0,5,54,1,0,14,no
0,0,3,21,2,41,3,no
2,0,24,207,1,49,25,no
2,0,5,43,1,0,5,no
2,0,6,227,1,89,30,no
1,0,40,358,1,62,86,no
0,0,2,36,1,0,6,no
3,0,10,501,1,75,50,no
0,0,2,16,1,12,2,no
0,0,23,107,1,13,24,yes
1,1,27,141,1,14,30,yes
16,0,11,1225,1,79,209,yes
21,0,71,487,2,77,54,yes
7,0,11,187,1,18,22,no
19,0,65,212,2,67,34,yes
23,1,89,725,2,80,123,no
8,0,27,145,2,71,36,no
21,0,71,491,2,73,64,yes
0,0,11,69,1,9,12,no
15,1,78,287,3,93,35,no
1,0,11,69,1,24,12,no
9,0,96,237,3,73,42,yes
3,0,66,30,3,42,7,no
2,0,52,33,2,0,8,no
3,3,56,56,2,85,12,no
1,1,3,38,1,0,5,no
6,0,56,75,2,98,13,no
34,15,44,349,1,92,83,yes
13,2,59,147,2,85,32,yes
19,0,42,339,1,92,87,yes
18,2,72,116,2,7,28,no
14,1,78,324,3,94,37,no
1,0,11,78,1,22,12,no
22,0,96,428,4,78,42,no
13,0,12,103,1,83,15,no
4,0,11,117,1,9,24,no
22,0,96,436,4,78,43,no
16,0,12,106,1,83,15,no
4,0,11,117,1,9,24,no
8,0,59,107,2,37,18,no
25,1,71,432,2,88,56,yes
0,0,11,64,1,9,12,no
18,0,70,418,2,76,72,yes
31,0,98,1295,2,83,247,yes
13,0,27,241,2,66,70,no
16,0,84,509,3,90,47,no
3,0,3,44,2,33,7,no
1,0,11,88,1,21,12,no
35,0,112,3053,2,89,554,yes
0,0,1,12,1,0,1,no
0,0,2,22,1,25,5,no
15,0,27,248,2,66,69,no
4,0,10,87,2,33,17,no
30,0,127,837,3,83,146,yes
9,0,27,159,2,71,39,no
4,0,30,35,2,53,7,no
4,0,31,108,2,60,20,no
4,0,28,74,2,44,14,no
4,0,30,49,2,33,11,no
8,0,40,203,2,72,31,yes
8,0,37,199,2,72,34,yes
4,0,30,127,2,48,19,no
6,0,37,96,2,16,21,yes
4,0,28,52,2,44,7,no
4,0,28,38,2,44,6,no
4,0,28,52,2,44,7,no
4,0,36,55,2,18,11,yes
4,0,28,38,2,44,6,no
4,0,28,35,2,44,6,no
4,0,28,38,2,44,6,no
4,0,33,58,2,0,12,no
3,0,30,91,2,51,16,no
5,0,35,94,2,65,19,no
3,0,30,78,2,51,15,no
2,0,29,50,2,50,8,no
3,0,30,65,2,60,12,no
18,0,55,392,2,89,97,yes
7,0,46,761,2,79,63,yes
5,0,16,416,2,71,59,yes
4,0,31,135,2,61,24,no
8,0,40,172,2,71,26,yes
4,0,28,50,2,44,8,no
4,0,28,50,2,44,8,no
1,0,12,87,1,83,21,no
11,0,55,484,2,83,77,yes
0,0,5,44,1,44,8,no
4,0,30,90,2,55,17,no
8,0,46,190,2,75,31,yes
2,0,3,17,1,33,3,no
3,0,31,88,2,59,18,no
8,0,40,196,2,73,32,yes
3,0,30,67,2,60,11,yes
3,0,30,67,2,60,11,yes
4,0,30,85,2,52,13,no
5,55,25,219,1,86,59,yes
8,0,38,189,2,72,30,yes
6,0,35,62,2,19,11,yes
3,0,31,43,2,66,10,no
7,0,42,123,2,67,21,yes
0,0,1,7,1,100,1,no
4,0,30,95,2,44,13,no
3,0,31,115,2,56,23,no
9,0,18,194,1,51,46,no
68,0,27,976,2,87,193,yes
9,0,2,61,1,0,17,yes
3,0,30,62,2,54,11,no
3,0,28,34,2,44,4,no
9,0,43,200,2,81,31,yes
3,0,30,72,2,54,13,no
6,0,37,89,2,20,16,yes
3,0,30,77,2,51,15,no
6,0,42,521,2,75,36,yes
6,0,15,299,2,73,46,yes
4,0,30,126,2,55,16,no
3,0,31,85,2,59,17,no
2,0,29,50,2,50,8,no
8,0,43,239,2,79,39,yes
8,0,38,193,2,70,30,yes
6,0,34,54,2,61,11,yes
9,0,40,180,2,73,28,yes
8,0,5,128,2,40,19,yes
0,0,3,38,2,0,8,no
2,0,4,63,2,0,10,no
5,0,5,128,1,60,21,no
14,0,86,329,3,62,41,no
2,0,12,114,1,41,28,no
9,0,8,75,1,62,13,no
9,0,5,233,2,46,12,yes
6,0,9,130,2,49,18,no
3,0,5,59,1,40,11,no
0,0,9,42,1,0,10,no
20,0,55,391,4,75,57,no
2,0,10,63,1,0,18,no
5,0,14,141,1,32,46,no
