Name,CBO,NOC,WMC,RFC,DIT,LCOM,SLOC,change
org.apache.click.ActionEventDispatcher,9,0,15,28,0,82,151,yes
org.apache.click.ClickRequestWrapper,16,0,9,22,1,58,135,yes
org.apache.click.ClickServlet,48,1,40,53,1,90,883,yes
org.apache.click.ClickServletTest,5,0,2,15,1,0,18,yes
org.apache.click.Context,22,1,47,60,0,90,310,yes
org.apache.click.ContextTest,4,0,1,14,1,0,17,no
org.apache.click.control.AbstractContainer,11,12,21,79,1,95,141,no
org.apache.click.control.AbstractContainerTest,11,0,2,15,1,0,104,yes
org.apache.click.control.AbstractControl,26,11,45,58,0,96,344,yes
org.apache.click.control.AbstractLink,12,3,28,86,1,93,238,yes
org.apache.click.control.AbstractLinkTest,5,0,2,15,1,0,17,yes
org.apache.click.control.ActionButton,12,0,25,150,3,91,219,yes
org.apache.click.control.ActionLink,10,1,19,105,2,89,171,yes
org.apache.click.control.AttributeTest,7,0,5,18,1,0,200,yes
org.apache.click.control.Button,4,4,10,125,2,100,54,yes
org.apache.click.control.Checkbox,5,0,16,131,2,85,107,yes
org.apache.click.control.CheckboxTest,4,0,1,14,1,0,11,yes
org.apache.click.control.Column,21,2,56,69,0,96,522,yes
org.apache.click.control.ColumnCompareTest,10,0,8,21,1,0,103,yes
org.apache.click.control.ColumnTest,6,0,4,17,1,0,87,no
org.apache.click.control.ColumnTest.Child,1,0,5,18,0,60,17,yes
org.apache.click.control.ColumnTest.TestObject,2,0,6,19,0,66,24,yes
org.apache.click.control.ContextAccessTest,3,0,4,17,1,66,41,yes
org.apache.click.control.ControlTest,10,0,3,16,1,0,33,yes
org.apache.click.control.Field,13,17,57,115,1,96,334,yes
org.apache.click.control.FieldSet,22,1,47,162,2,96,585,yes
org.apache.click.control.FieldSetTest,19,0,15,28,1,33,189,yes
org.apache.click.control.FileField,4,0,16,131,2,92,104,yes
org.apache.click.control.FileFieldTest,5,0,1,14,1,0,11,yes
org.apache.click.control.Form,35,6,92,171,2,97,1108,yes
org.apache.click.control.Form.ImmutableHiddenField,2,0,4,134,3,100,26,yes
org.apache.click.control.FormTest,25,0,25,38,1,62,369,yes
org.apache.click.control.HiddenField,19,2,15,130,2,84,151,yes
org.apache.click.control.HiddenFieldTest,10,0,2,15,1,0,30,no
org.apache.click.control.ImageSubmit,6,0,11,147,4,86,76,yes
org.apache.click.control.Label,2,0,6,121,2,100,21,yes
org.apache.click.control.Option,5,0,7,20,0,85,54,no
org.apache.click.control.OptionGroup,8,0,7,20,0,85,46,no
org.apache.click.control.PageLink,7,1,11,97,2,77,61,yes
org.apache.click.control.Panel,16,5,27,106,2,94,220,yes
org.apache.click.control.PanelTest,5,0,2,15,1,0,32,no
org.apache.click.control.PasswordField,1,0,8,142,3,100,27,yes
org.apache.click.control.Radio,9,0,16,131,2,93,154,yes
org.apache.click.control.RadioGroup,20,1,23,138,2,94,239,yes
org.apache.click.control.RadioTest,6,0,1,14,1,0,25,yes
org.apache.click.control.Reset,1,0,4,129,3,100,14,yes
org.apache.click.control.Select,28,5,35,150,2,94,410,yes
org.apache.click.control.SelectTest,4,0,1,14,1,0,11,yes
org.apache.click.control.Submit,4,2,11,136,3,90,76,yes
org.apache.click.control.Table,30,4,75,133,1,98,754,yes
org.apache.click.control.TablePaginator,10,1,5,18,0,80,118,yes
org.apache.click.control.TableTest,8,0,4,17,1,0,75,yes
org.apache.click.control.TableTest.Foo,1,0,2,15,0,0,9,yes
org.apache.click.control.TextArea,3,1,21,136,2,92,147,yes
org.apache.click.control.TextAreaTest,7,0,2,15,1,0,53,yes
org.apache.click.control.TextField,3,10,19,134,2,92,136,yes
org.apache.click.control.TextFieldTest,10,0,7,20,1,0,133,yes
org.apache.click.element.CssImport,6,0,11,48,2,100,80,yes
org.apache.click.element.CssStyle,6,0,18,55,2,90,110,yes
org.apache.click.element.Element,8,1,15,28,0,90,88,no
org.apache.click.element.JsImport,5,0,11,48,2,100,77,yes
