Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.gora.accumulo.encoders.BinaryEncoder,11,1,23,36,153,0,0,no
org.apache.gora.accumulo.encoders.HexEncoder,5,0,28,41,148,0,92,no
org.apache.gora.accumulo.encoders.SignedBinaryEncoder,2,0,10,46,61,1,0,no
org.apache.gora.accumulo.encoders.Utils,4,0,4,17,50,0,0,no
org.apache.gora.accumulo.query.AccumuloQuery,1,0,2,48,8,1,0,no
org.apache.gora.accumulo.query.AccumuloResult,6,0,5,33,27,1,60,no
org.apache.gora.accumulo.store.AccumuloMapping,3,0,0,13,7,0,0,no
org.apache.gora.accumulo.store.AccumuloStore,58,0,36,70,785,1,89,yes
org.apache.gora.accumulo.store.AccumuloStoreTest,8,0,3,62,14,1,0,no
org.apache.gora.accumulo.store.PartitionTest,10,0,3,16,52,0,0,no
org.apache.gora.accumulo.util.FixedByteArrayOutputStream,3,0,3,22,15,0,16,no
org.apache.gora.accumulo.util.HexEncoderTest,4,0,2,15,24,0,0,no
org.apache.gora.accumulo.util.SignedBinaryEncoderTest,10,0,7,20,115,0,0,no
org.apache.gora.avro.mapreduce.FsInput,1,0,6,19,23,0,41,no
org.apache.gora.avro.mapreduce.TestDataFileAvroStoreMapReduce,11,0,2,21,14,2,0,no
org.apache.gora.avro.query.AvroQuery,1,0,2,48,8,1,0,no
org.apache.gora.avro.query.AvroResult,5,0,4,32,27,1,50,no
org.apache.gora.avro.query.DataFileAvroResult,5,0,5,33,46,1,50,no
org.apache.gora.avro.store.AvroStore,17,1,27,85,168,2,89,no
org.apache.gora.avro.store.DataFileAvroStore,12,0,10,95,82,3,60,no
org.apache.gora.avro.store.TestAvroStore,20,1,12,25,84,0,76,no
org.apache.gora.avro.store.TestDataFileAvroStore,6,0,2,27,10,1,0,no
org.apache.gora.cassandra.GoraCassandraTestDriver,9,0,6,28,71,1,62,no
org.apache.gora.cassandra.query.CassandraColumn,6,2,11,24,53,0,87,no
org.apache.gora.cassandra.query.CassandraQuery,4,0,7,53,30,1,64,no
org.apache.gora.cassandra.query.CassandraResult,17,0,9,37,81,1,72,no
org.apache.gora.cassandra.query.CassandraResultSet,3,0,2,98,15,0,50,no
org.apache.gora.cassandra.query.CassandraRow,2,0,3,99,16,0,66,no
org.apache.gora.cassandra.query.CassandraSubColumn,5,0,5,29,46,1,70,no
org.apache.gora.cassandra.query.CassandraSuperColumn,17,0,7,31,126,1,71,no
org.apache.gora.cassandra.serializers.AvroSerializerUtil,6,0,2,15,51,0,50,no
org.apache.gora.cassandra.serializers.CharSequenceSerializer,3,0,4,17,24,1,75,no
org.apache.gora.cassandra.serializers.GoraSerializerTypeInferer,18,0,6,19,170,0,100,no
