Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.hama.bsp.BSPApplicationMaster,32,0,22,35,239,0,89,no
org.apache.hama.bsp.BSPJobClient,59,1,39,52,748,1,92,no
org.apache.hama.bsp.BSPJobID,10,0,11,33,75,1,63,no
org.apache.hama.bsp.BSPRunner,20,0,3,16,81,0,44,no
org.apache.hama.bsp.BSPTask,23,0,11,42,151,1,69,no
org.apache.hama.bsp.BSPTaskLauncher,12,0,8,21,143,0,65,no
org.apache.hama.bsp.BSPTaskLauncher.BSPTaskStatus,0,0,3,16,15,0,33,no
org.apache.hama.bsp.BSPTaskRunner,4,0,1,98,6,1,100,no
org.apache.hama.bsp.ClusterStatus,12,0,11,24,83,0,66,no
org.apache.hama.bsp.CombineFileInputFormat.MultiPathFilter,5,0,5,18,31,0,0,no
org.apache.hama.bsp.CombineFileInputFormat.OneBlockInfo,1,0,1,14,27,0,0,no
org.apache.hama.bsp.Combiner,1,3,1,14,3,0,0,no
org.apache.hama.bsp.CommitTaskAction,5,0,5,23,22,1,0,no
org.apache.hama.bsp.Counters,20,0,24,37,441,0,93,no
org.apache.hama.bsp.Counters.Counter,7,0,15,28,86,0,60,no
org.apache.hama.bsp.DirectiveException,1,0,3,52,12,0,100,no
org.apache.hama.bsp.DispatchTasksDirective,8,0,5,24,43,1,60,no
org.apache.hama.bsp.FCFSQueue,8,0,6,19,37,0,44,no
org.apache.hama.bsp.FileInputFormat.NodeInfo,3,0,5,18,25,0,60,no
org.apache.hama.bsp.FileSplit,6,0,10,23,52,0,55,no
org.apache.hama.bsp.GroomServer.Instructor,12,0,3,89,29,0,33,no
org.apache.hama.bsp.GroomServer.RunningJob,4,0,3,16,20,0,53,no
org.apache.hama.bsp.HashPartitioner,2,0,1,14,6,0,0,no
org.apache.hama.bsp.ID,6,3,9,22,44,0,55,no
org.apache.hama.bsp.JobChangeEvent,1,0,2,15,9,0,0,no
org.apache.hama.bsp.JobImpl,20,0,10,23,180,0,79,no
org.apache.hama.bsp.JobProfile,7,0,8,21,49,0,46,no
org.apache.hama.bsp.KillTaskAction,5,0,5,23,22,1,0,no
org.apache.hama.bsp.LaunchTaskAction,6,0,5,23,22,1,19,no
org.apache.hama.bsp.LineRecordReader,9,0,9,22,112,0,58,no
org.apache.hama.bsp.LineRecordReader.LineReader,2,0,3,16,11,1,0,no
org.apache.hama.bsp.LocalBSPRunner.LocalUmbilical,7,0,9,22,37,0,0,no
org.apache.hama.bsp.message.compress.BSPMessageCompressorFactory,7,0,1,14,16,0,0,no
org.apache.hama.bsp.message.compress.TestBSPCompressBundle,7,0,1,14,16,1,0,no
org.apache.hama.bsp.message.compress.TestBSPMessageCompressor,8,0,1,14,28,1,0,no
org.apache.hama.bsp.message.TestHadoopMessageManager,17,0,3,16,48,1,50,no
org.apache.hama.bsp.message.type.BooleanMessage,6,0,8,26,38,1,37,no
org.apache.hama.bsp.message.type.BSPMessage,0,6,5,18,8,0,0,no
org.apache.hama.bsp.message.type.ByteMessage,4,0,8,26,42,1,37,no
org.apache.hama.bsp.message.type.DoubleMessage,6,0,8,26,38,1,37,no
org.apache.hama.bsp.message.type.IntegerDoubleMessage,6,0,8,26,38,1,37,no
org.apache.hama.bsp.message.type.IntegerMessage,6,0,8,26,38,1,37,no
org.apache.hama.bsp.message.type.LongMessage,6,0,8,26,38,1,37,no
org.apache.hama.bsp.NullInputFormat,7,0,2,15,64,0,0,no
org.apache.hama.bsp.NullInputFormat.NullInputSplit,5,0,4,17,16,0,0,no
org.apache.hama.bsp.NullInputFormat.NullRecordReader,2,0,6,19,31,0,83,no
org.apache.hama.bsp.NullOutputFormat,4,0,2,15,17,0,0,no
org.apache.hama.bsp.QueueManager,9,0,7,20,34,0,28,no
org.apache.hama.bsp.ReinitGroomAction,4,0,3,21,11,1,0,no
org.apache.hama.bsp.ReportGroomStatusDirective,7,0,5,24,26,1,60,no
org.apache.hama.bsp.SequenceFileOutputFormat,8,0,1,26,13,1,0,no
org.apache.hama.bsp.SequenceFileRecordReader,6,0,12,25,88,0,63,no
org.apache.hama.bsp.SimpleTaskScheduler,24,0,5,26,271,1,67,no
org.apache.hama.bsp.SimpleTaskScheduler.JobProcessor,20,0,4,90,54,0,25,no
org.apache.hama.bsp.SimpleTaskScheduler.NodeWatcher,7,0,4,17,20,0,75,no
org.apache.hama.bsp.Superstep,2,2,4,17,13,0,0,no
org.apache.hama.bsp.SuperstepBSP,11,0,3,19,48,1,33,no
org.apache.hama.bsp.sync.SyncException,1,0,2,46,11,0,50,no
org.apache.hama.bsp.sync.SyncServerRunner,6,0,5,18,25,0,0,no
org.apache.hama.bsp.sync.ZooKeeperSyncClientImpl.BarrierWatcher,2,0,2,15,12,0,0,no
org.apache.hama.bsp.sync.ZooKeeperSyncServerImpl,11,0,3,16,45,0,33,no
org.apache.hama.bsp.Task,16,1,18,31,75,0,84,no
org.apache.hama.bsp.TaskAttemptContext,4,0,5,31,20,1,60,no
org.apache.hama.bsp.TaskAttemptID,12,0,13,35,77,1,53,no
org.apache.hama.bsp.TaskID,11,0,12,34,80,1,66,no
org.apache.hama.bsp.TaskLog,12,0,7,20,205,0,82,no
org.apache.hama.bsp.TaskLogAppender,9,0,7,20,52,1,57,no
org.apache.hama.bsp.TaskRunner,30,1,11,97,228,0,78,no
org.apache.hama.bsp.TaskScheduler,9,1,8,21,27,0,83,no
