Name,CBO,NOC,LCOM,DIT,SLOC,RFC,WMC,CHANGE
org.hsqldb.auth.AuthBeanMultiplexer,21,0,76,0,118,23,10,no
org.hsqldb.auth.AuthUtils,10,0,33,0,61,16,3,no
org.hsqldb.auth.DenyException,0,0,0,0,2,44,0,no
org.hsqldb.auth.HsqldbSlaveAuthBean,10,0,69,0,89,20,7,no
org.hsqldb.auth.JaasAuthBean,16,0,65,0,129,20,7,no
org.hsqldb.auth.LdapAuthBean,26,0,86,0,244,31,18,yes
org.hsqldb.auth.LdapAuthBeanTester,15,0,0,0,92,14,1,no
org.hsqldb.ClientConnection,40,1,95,0,386,62,49,yes
org.hsqldb.ClientConnectionHTTP,16,0,83,1,70,70,8,yes
org.hsqldb.cmdline.SqlFile,93,0,96,0,4577,100,87,no
org.hsqldb.cmdline.SqlFile.BadSpecial,1,0,100,1,12,52,2,no
org.hsqldb.cmdline.SqlFile.BadSubst,1,0,100,0,5,45,1,no
org.hsqldb.cmdline.SqlFile.BreakException,1,0,100,2,8,56,2,no
org.hsqldb.cmdline.SqlFile.ContinueException,1,0,100,2,8,56,2,no
org.hsqldb.cmdline.SqlFile.QuitNow,1,0,100,2,8,56,2,no
org.hsqldb.cmdline.SqlFile.RowError,1,0,100,1,8,52,2,no
org.hsqldb.cmdline.SqlFile.SharedFields,6,0,83,0,11,14,1,no
org.hsqldb.cmdline.SqlTool,29,0,78,0,530,17,4,no
org.hsqldb.cmdline.SqlTool.BadCmdline,0,0,100,0,5,45,1,no
org.hsqldb.cmdline.sqltool.Calculator,16,0,78,0,285,20,7,no
org.hsqldb.cmdline.sqltool.Calculator.Atom,7,0,25,0,24,17,4,no
org.hsqldb.cmdline.sqltool.FileRecordReader,16,0,76,0,77,22,9,no
org.hsqldb.cmdline.SqlTool.PrivateException,1,0,100,0,6,45,1,no
org.hsqldb.cmdline.sqltool.SqlFileScanner,13,0,95,0,783,55,42,no
org.hsqldb.cmdline.sqltool.Token,7,0,83,0,91,23,10,no
org.hsqldb.cmdline.sqltool.TokenList,1,0,100,0,16,100,4,no
org.hsqldb.cmdline.SqlToolError,1,3,100,1,14,54,4,no
org.hsqldb.cmdline.SqlToolSprayer,11,0,50,0,96,14,1,no
org.hsqldb.ColumnBase,5,1,84,0,90,35,22,yes
org.hsqldb.ColumnSchema,23,0,89,1,239,75,40,yes
org.hsqldb.Constraint,41,0,85,0,635,74,61,yes
org.hsqldb.ConstraintCore,3,0,25,0,34,14,1,no
org.hsqldb.Database,38,0,96,0,539,73,60,yes
org.hsqldb.Database.CheckpointRunner,10,0,16,0,35,16,3,no
org.hsqldb.Database.TimeoutRunner,8,0,12,0,47,17,4,no
org.hsqldb.DatabaseManager,22,0,79,0,266,32,19,yes
org.hsqldb.DatabaseURL,8,0,61,0,219,16,3,no
org.hsqldb.dbinfo.DatabaseInformation,10,1,99,0,246,20,7,yes
org.hsqldb.dbinfo.DatabaseInformationFull,81,0,98,2,4945,132,78,yes
org.hsqldb.dbinfo.DatabaseInformationMain,52,1,73,1,1871,54,34,yes
org.hsqldb.dbinfo.DITableInfo,12,0,86,0,93,25,12,no
org.hsqldb.error.Error,14,0,91,0,144,31,18,yes
org.hsqldb.Expression,59,13,95,0,1452,107,94,yes
org.hsqldb.ExpressionAccessor,12,0,0,1,107,115,8,no
org.hsqldb.ExpressionAggregate,18,0,75,1,198,119,12,yes
org.hsqldb.ExpressionArithmetic,17,0,0,1,483,117,10,yes
org.hsqldb.ExpressionArrayAggregate,21,0,74,1,269,120,13,yes
org.hsqldb.ExpressionColumn,35,0,89,1,884,154,47,yes
org.hsqldb.ExpressionColumnAccessor,13,0,60,1,86,130,23,yes
org.hsqldb.ExpressionLike,17,0,31,2,238,162,8,yes
org.hsqldb.ExpressionLogical,37,1,97,1,1721,154,47,yes
org.hsqldb.ExpressionOp,25,0,100,1,666,118,11,yes
org.hsqldb.ExpressionOrderBy,11,0,66,1,65,116,9,no
org.hsqldb.ExpressionTable,21,0,68,1,158,118,11,yes
org.hsqldb.ExpressionValue,10,0,0,1,48,113,6,no
