Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
com.logicaldoc.bm.AbstractLoader,13,4,9,95,78,75,0,no
com.logicaldoc.bm.AbstractServerProxy,9,2,12,25,16,100,0,no
com.logicaldoc.bm.cache.EhCacheAdapter,4,0,8,21,70,12,0,no
com.logicaldoc.bm.loaders.ListFolders,11,0,4,99,40,56,1,no
com.logicaldoc.bm.loaders.Search,21,0,6,101,67,73,1,no
com.logicaldoc.bm.loaders.Update,21,0,7,102,109,67,1,yes
com.logicaldoc.bm.loaders.Upload,29,0,8,103,165,79,1,yes
com.logicaldoc.bm.LoadSession,24,0,16,29,117,87,0,no
com.logicaldoc.bm.MultiLoader,16,0,13,26,166,82,0,yes
com.logicaldoc.bm.RandomFile,8,0,4,17,39,50,0,no
com.logicaldoc.bm.RestServerProxy,19,0,12,37,57,68,1,no
com.logicaldoc.bm.SoapServerProxy,19,0,12,37,65,75,1,no
com.logicaldoc.bm.SourceFile,1,0,3,16,14,33,0,no
com.logicaldoc.cmis.CmisPlugin,11,0,1,30,25,50,2,no
com.logicaldoc.cmis.CmisServlet,7,0,1,14,11,100,1,no
com.logicaldoc.cmis.Converter,35,0,79,94,1714,97,0,no
com.logicaldoc.cmis.LDCmisService,28,0,38,51,321,92,1,no
com.logicaldoc.cmis.LDRepository,77,0,73,86,1805,92,0,no
com.logicaldoc.cmis.RegexTester,18,0,7,540,158,66,0,no
com.logicaldoc.cmis.SampleClient,16,0,10,23,131,72,0,yes
com.logicaldoc.cmis.ServiceFactory,7,0,4,17,32,75,1,no
com.logicaldoc.cmis.TestRegex,5,0,4,17,36,0,0,no
com.logicaldoc.cmis.TypeManager,16,0,14,27,411,87,0,no
com.logicaldoc.core.AbstractCoreTCase,12,35,6,19,92,63,0,no
com.logicaldoc.core.communication.EMail,12,0,33,77,129,91,2,no
com.logicaldoc.core.communication.EMailAttachment,1,0,9,22,32,77,0,no
com.logicaldoc.core.communication.EMailSender,26,0,20,33,204,86,0,yes
com.logicaldoc.core.communication.HibernateMessageTemplateDAO,6,0,4,60,37,0,1,yes
com.logicaldoc.core.communication.HibernateMessageTemplateDAOTest,7,0,3,22,39,0,1,yes
com.logicaldoc.core.communication.HibernateSystemMessageDAO,16,0,10,66,109,0,1,no
com.logicaldoc.core.communication.HibernateSystemMessageDAO.SystemMessageMapper,5,0,1,14,22,0,0,no
com.logicaldoc.core.communication.HibernateSystemMessageDAOTest,11,0,10,29,135,0,1,no
com.logicaldoc.core.communication.Message,6,2,18,44,74,90,1,no
com.logicaldoc.core.communication.MessageTemplate,9,0,15,41,61,85,1,yes
com.logicaldoc.core.communication.Recipient,3,0,15,28,69,91,0,no
com.logicaldoc.core.communication.SystemMessage,6,0,14,58,74,90,2,no
com.logicaldoc.core.contact.Contact,2,0,18,44,64,86,1,no
com.logicaldoc.core.contact.HibernateContactDAO,9,0,2,58,22,0,1,no
com.logicaldoc.core.contact.HibernateContactDAOTest,3,0,2,21,18,0,1,no
com.logicaldoc.core.CorePlugin,8,0,1,30,17,0,2,no
com.logicaldoc.core.dbinit.PluginDbInit,11,0,3,32,55,66,1,no
com.logicaldoc.core.document.AbstractDocument,17,2,122,159,517,98,2,yes
com.logicaldoc.core.document.AbstractHistory,5,3,42,68,155,95,1,yes
com.logicaldoc.core.document.Bookmark,10,0,17,43,68,90,1,no
com.logicaldoc.core.document.dao.HibernateBookmarkDAO,4,0,3,59,15,0,1,no
com.logicaldoc.core.document.dao.HibernateBookmarkDAOTest,7,0,4,23,49,0,1,no
com.logicaldoc.core.document.dao.HibernateDocumentDAO,59,0,58,114,816,95,1,yes
com.logicaldoc.core.document.dao.HibernateDocumentDAOTest,30,0,36,55,453,69,1,yes
com.logicaldoc.core.document.dao.HibernateDocumentLinkDAO,7,0,5,61,41,0,1,no
com.logicaldoc.core.document.dao.HibernateDocumentLinkDAOTest,8,0,6,25,90,33,1,no
com.logicaldoc.core.document.dao.HibernateDocumentNoteDAO,13,0,5,61,41,0,1,no
com.logicaldoc.core.document.dao.HibernateDocumentNoteDAOTest,5,0,3,22,22,0,1,no
com.logicaldoc.core.document.dao.HibernateHistoryDAO,17,0,11,67,82,81,1,no
com.logicaldoc.core.document.dao.HibernateHistoryDAOTest,14,0,11,30,157,0,1,no
com.logicaldoc.core.document.dao.HibernateRatingDAO,8,0,3,59,38,0,1,no
com.logicaldoc.core.document.dao.HibernateRatingDAOTest,6,0,4,23,47,0,1,no
com.logicaldoc.core.document.dao.HibernateVersionDAO,17,0,8,64,117,62,1,yes
