name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
maven-core-src-test-java-org-apache-maven-AbstractCoreMavenComponentTestCase-AbstractCoreMavenComponentTestCase.java,22,10,13,26,237,1,73,no
maven-core-src-test-java-org-apache-maven-AbstractCoreMavenComponentTestCase-PluginBuilder.java,2,0,5,18,40,0,40,no
maven-core-src-test-java-org-apache-maven-AbstractCoreMavenComponentTestCase-ProjectBuilder.java,4,0,11,24,71,0,27,no
maven-core-src-main-java-org-apache-maven-AbstractMavenLifecycleParticipant-AbstractMavenLifecycleParticipant.java,2,2,3,16,15,0,0,no
maven-embedder-src-test-error-reporting-projects-missing-module-pom-child1-src-main-java-org-test-App-App.java,3,0,1,14,7,0,0,no
maven-embedder-src-test-error-reporting-projects-missing-module-pom-child1-src-test-java-org-test-AppTest-AppTest.java,2,0,3,16,16,1,0,no
maven-compat-src-test-java-org-apache-maven-artifact-AbstractArtifactComponentTestCase-AbstractArtifactComponentTestCase.java,21,5,25,38,219,1,84,yes
maven-compat-src-main-java-org-apache-maven-artifact-ArtifactStatus-ArtifactStatus.java,3,0,6,19,57,0,83,yes
maven-artifact-src-main-java-org-apache-maven-artifact-ArtifactUtils-ArtifactUtils.java,14,0,12,25,144,0,0,yes
maven-compat-src-test-java-org-apache-maven-artifact-ArtifactUtilsTest-ArtifactUtilsTest.java,9,0,4,17,36,1,0,yes
maven-artifact-src-main-java-org-apache-maven-artifact-DefaultArtifact-DefaultArtifact.java,20,3,58,71,444,0,92,yes
maven-compat-src-test-java-org-apache-maven-artifact-DefaultArtifactTest-DefaultArtifactTest.java,7,0,12,25,88,1,51,no
maven-core-src-main-java-org-apache-maven-artifact-DependencyResolutionRequiredException-DependencyResolutionRequiredException.java,1,0,1,45,8,0,0,no
maven-compat-src-test-java-org-apache-maven-artifact-deployer-ArtifactDeployerTest-ArtifactDeployerTest.java,6,0,3,41,27,2,33,no
maven-compat-src-main-java-org-apache-maven-artifact-deployer-ArtifactDeploymentException-ArtifactDeploymentException.java,1,0,3,47,17,0,0,no
maven-compat-src-main-java-org-apache-maven-artifact-deployer-DefaultArtifactDeployer-DefaultArtifactDeployer.java,20,0,2,15,87,1,50,yes
maven-compat-src-test-java-org-apache-maven-artifact-deployer-SimpleArtifactMetadataSource-SimpleArtifactMetadataSource.java,10,0,4,17,28,0,0,no
maven-core-src-main-java-org-apache-maven-artifact-factory-DefaultArtifactFactory-DefaultArtifactFactory.java,6,0,15,28,107,0,93,no
maven-compat-src-test-java-org-apache-maven-artifact-factory-DefaultArtifactFactoryTest-DefaultArtifactFactoryTest.java,4,0,1,14,18,1,0,no
maven-compat-src-test-java-org-apache-maven-artifact-handler-ArtifactHandlerMock-ArtifactHandlerMock.java,1,0,14,27,62,0,85,no
