Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,Change
org.apache.hadoop.hbase.ipc.PhoenixIndexRpcSchedulerTest,5,0,3,16,44,0,0,yes
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReader,9,0,10,23,309,70,1,yes
org.apache.hadoop.hbase.regionserver.IndexHalfStoreFileReaderGenerator,31,1,4,17,154,58,1,yes
org.apache.hadoop.hbase.regionserver.IndexKeyValueSkipListSet,2,0,3,16,15,33,1,no
org.apache.hadoop.hbase.regionserver.IndexSplitTransaction,27,0,23,36,544,78,0,yes
org.apache.hadoop.hbase.regionserver.IndexSplitTransaction.DaughterOpener,3,0,3,16,22,33,1,no
org.apache.hadoop.hbase.regionserver.IndexSplitTransaction.LoggingProgressable,3,0,2,15,17,16,0,no
org.apache.hadoop.hbase.regionserver.IndexSplitTransaction.StoreFileSplitter,3,0,2,15,11,0,0,yes
org.apache.hadoop.hbase.regionserver.LocalIndexSplitter,26,1,3,16,109,25,1,yes
org.apache.hadoop.hbase.regionserver.wal.IndexedHLogReader,4,0,1,14,6,0,1,no
org.apache.hadoop.hbase.regionserver.wal.IndexedWALEditCodec,7,0,3,16,95,50,1,no
org.apache.hadoop.hbase.regionserver.wal.IndexedWALEditCodec.CompressedIndexKeyValueDecoder,7,0,2,15,21,0,1,no
org.apache.hadoop.hbase.regionserver.wal.IndexedWALEditCodec.CompressedIndexKeyValueEncoder,7,0,3,16,26,0,1,no
org.apache.hadoop.hbase.regionserver.wal.IndexedWALEditCodec.IndexKeyValueDecoder,5,0,2,15,8,0,1,no
org.apache.hadoop.hbase.regionserver.wal.IndexedWALEditCodec.IndexKeyValueEncoder,5,0,3,16,13,0,1,no
org.apache.hadoop.hbase.regionserver.wal.ReadWriteKeyValuesWithCodecIT,8,0,7,20,96,66,0,no
org.apache.hadoop.hbase.regionserver.wal.WALReplayWithIndexWritesAndCompressedWALIT,17,1,12,25,154,80,0,yes
org.apache.hadoop.hbase.regionserver.wal.WALReplayWithIndexWritesAndUncompressedWALInHBase_094_9_IT,6,0,1,26,10,0,1,no
org.apache.hadoop.metrics2.impl.ExposedMetricCounterLong,0,0,1,14,4,0,1,no
org.apache.hadoop.metrics2.impl.ExposedMetricsRecordImpl,2,0,1,14,5,0,1,no
org.apache.hadoop.metrics2.lib.ExposedMetricsInfoImpl,1,0,1,14,4,0,1,no
org.apache.phoenix.cache.aggcache.SpillableGroupByCache.EntryIterator,11,0,4,17,45,37,0,no
org.apache.phoenix.cache.aggcache.SpillableGroupByCache.QueryCache,3,0,1,14,5,0,0,no
org.apache.phoenix.cache.aggcache.SpillFile,15,0,5,18,84,64,0,no
org.apache.phoenix.cache.aggcache.SpillFile.TempFile,8,0,3,16,26,16,0,no
org.apache.phoenix.cache.aggcache.SpillManager,33,0,10,23,181,72,0,no
org.apache.phoenix.cache.aggcache.SpillManager.CacheEntry,2,0,6,19,28,41,0,no
org.apache.phoenix.cache.aggcache.SpillManager.SpillMapIterator,4,0,3,16,20,50,0,no
org.apache.phoenix.cache.aggcache.SpillMap,13,0,10,41,283,64,0,no
org.apache.phoenix.cache.aggcache.SpillMap.MappedByteBufferMap,14,0,8,21,94,58,0,no
org.apache.phoenix.cache.GlobalCache,12,0,8,27,82,75,1,no
org.apache.phoenix.cache.ServerCacheClient,40,0,6,19,198,70,0,yes
org.apache.phoenix.cache.ServerCacheClient.ServerCache,4,0,4,17,19,41,0,no
org.apache.phoenix.cache.TenantCacheImpl,10,1,6,19,54,72,0,no
org.apache.phoenix.call.CallRunner,4,0,2,15,26,50,0,no
org.apache.phoenix.compile.AggregationManager,2,0,5,18,18,60,0,no
org.apache.phoenix.compile.BindManager,9,0,4,17,28,50,0,no
org.apache.phoenix.compile.CreateIndexCompiler,19,0,2,15,62,0,0,no
org.apache.phoenix.compile.CreateSequenceCompiler,24,0,4,17,186,66,0,no
org.apache.phoenix.compile.CreateSequenceCompiler.IntegerDatum,4,0,5,18,21,0,0,yes
org.apache.phoenix.compile.CreateSequenceCompiler.LongDatum,4,0,5,18,22,0,0,yes
org.apache.phoenix.compile.CreateTableCompiler,33,0,2,15,195,0,0,yes
org.apache.phoenix.compile.CreateTableCompiler.ColumnTrackingExpressionCompiler,7,0,2,137,12,0,3,no
org.apache.phoenix.compile.CreateTableCompiler.ViewWhereExpressionVisitor,19,0,11,69,66,80,2,yes
org.apache.phoenix.compile.DeleteCompiler,74,0,4,17,406,62,0,no
org.apache.phoenix.compile.DeleteCompiler.DeletingParallelIteratorFactory,10,0,6,22,25,66,1,no
org.apache.phoenix.compile.DeleteCompiler.MultiDeleteMutationPlan,8,0,6,19,32,33,0,yes
org.apache.phoenix.compile.DropSequenceCompiler,7,0,2,15,32,0,0,no
org.apache.phoenix.compile.ExplainPlan,3,0,2,15,10,50,0,no
org.apache.phoenix.compile.ExpressionCompiler,98,5,67,135,975,92,2,yes
org.apache.phoenix.compile.ExpressionManager,4,0,4,17,20,0,0,no
org.apache.phoenix.compile.ExpressionProjector,9,0,6,19,46,66,0,no
org.apache.phoenix.compile.FromCompiler,23,0,6,19,383,91,0,yes
org.apache.phoenix.compile.FromCompiler.BaseColumnResolver,27,2,3,16,80,33,0,yes
org.apache.phoenix.compile.FromCompiler.MultiTableColumnResolver,41,0,9,25,146,44,1,yes
org.apache.phoenix.compile.FromCompiler.MultiTableColumnResolver.ColumnFamilyRef,2,0,3,16,14,33,0,no
org.apache.phoenix.compile.FromCompiler.SingleTableColumnResolver,24,0,7,23,78,21,1,yes
org.apache.phoenix.compile.GroupByCompiler,25,0,3,16,165,0,0,no
org.apache.phoenix.compile.GroupByCompiler.GroupBy,5,0,7,20,60,67,0,no
org.apache.phoenix.compile.GroupByCompiler.GroupBy.GroupByBuilder,4,0,5,18,22,80,0,yes
org.apache.phoenix.compile.HavingCompiler,17,0,3,16,102,0,0,yes
org.apache.phoenix.compile.HavingCompiler.HavingClauseVisitor,16,0,10,86,66,80,2,yes
org.apache.phoenix.compile.HavingCompilerTest,29,0,12,81,131,0,2,no
org.apache.phoenix.compile.HavingCompilerTest.Expressions,1,0,1,14,8,0,0,no
org.apache.phoenix.compile.IndexStatementRewriter,23,0,8,104,62,70,3,yes
org.apache.phoenix.compile.JoinCompiler,49,0,9,22,1105,84,0,yes
org.apache.phoenix.compile.JoinCompiler.ColumnRefParseNodeVisitor,14,0,6,82,52,38,3,yes
org.apache.phoenix.compile.JoinCompiler.JoinedTableColumnResolver,12,0,5,18,40,46,0,yes
org.apache.phoenix.compile.JoinCompiler.JoinSpec,25,0,8,21,148,72,0,yes
org.apache.phoenix.compile.JoinCompiler.JoinTable,25,0,18,31,181,72,0,yes
org.apache.phoenix.compile.JoinCompiler.JoinTableConstructor,21,0,5,18,41,0,0,no
org.apache.phoenix.compile.JoinCompiler.OnNodeVisitor,17,0,9,85,79,72,2,yes
org.apache.phoenix.compile.JoinCompiler.ProjectedPTableWrapper,5,0,3,22,12,33,1,no
org.apache.phoenix.compile.JoinCompiler.PTableWrapper,17,1,6,19,46,58,0,yes
org.apache.phoenix.compile.JoinCompiler.Table,36,0,20,33,177,74,0,yes
org.apache.phoenix.compile.JoinCompiler.WhereNodeVisitor,11,0,7,83,72,71,2,yes
org.apache.phoenix.compile.JoinQueryCompilerTest,25,0,3,72,83,0,2,no
org.apache.phoenix.compile.LimitCompiler,9,0,2,15,66,100,0,yes
org.apache.phoenix.compile.LimitCompiler.LimitParseNodeVisitor,12,0,4,78,29,50,2,no
org.apache.phoenix.compile.LimitCompilerTest,20,0,7,76,75,0,2,yes
org.apache.phoenix.compile.MutatingParallelIteratorFactory,16,2,3,16,52,33,0,yes
org.apache.phoenix.compile.OrderByCompiler,26,0,2,15,62,0,0,no
org.apache.phoenix.compile.OrderByCompiler.OrderBy,3,0,2,15,12,75,0,yes
org.apache.phoenix.compile.PostDDLCompiler,8,0,3,16,152,66,0,yes
org.apache.phoenix.compile.PostIndexDDLCompiler,15,0,2,15,50,0,0,yes
org.apache.phoenix.compile.ProjectionCompiler,56,0,12,25,413,91,0,yes
org.apache.phoenix.compile.ProjectionCompiler.ArrayIndexExpression,9,0,3,33,27,33,2,yes
org.apache.phoenix.compile.ProjectionCompiler.SelectClauseVisitor,31,0,9,144,101,75,3,no
org.apache.phoenix.compile.QueryCompiler,66,0,7,20,286,65,0,yes
org.apache.phoenix.compile.QueryCompilerTest,44,0,88,157,1269,0,2,yes
org.apache.phoenix.compile.QueryMetaDataTest,15,0,33,102,355,0,2,yes
org.apache.phoenix.compile.QueryOptimizerTest,28,0,43,112,464,100,2,no
org.apache.phoenix.compile.RowProjector,11,0,9,22,72,76,0,yes
org.apache.phoenix.compile.ScanRanges,16,0,26,39,367,90,0,yes
org.apache.phoenix.compile.ScanRangesIntersectTest,12,0,4,17,59,0,0,yes
org.apache.phoenix.compile.ScanRangesTest,9,0,5,18,463,65,0,yes
