Kind,Name,CBO,NOC,SLOC,LCOM,DIT,RFC,WMC,CHANGE
Public Class,net.sourceforge.subsonic.ajax.ArtistInfo,2,0,14,33,0,16,3,yes
Public Class,net.sourceforge.subsonic.ajax.ChatService,17,0,88,77,0,20,7,no
Public Static Class,net.sourceforge.subsonic.ajax.ChatService.Message,2,0,19,62,0,17,4,no
Public Static Class,net.sourceforge.subsonic.ajax.ChatService.Messages,1,0,14,55,0,16,3,no
Public Class,net.sourceforge.subsonic.ajax.CoverArtInfo,1,0,13,33,0,16,3,no
Public Class,net.sourceforge.subsonic.ajax.CoverArtService,14,0,79,50,0,19,6,yes
Public Class,net.sourceforge.subsonic.ajax.LyricsInfo,1,0,29,71,0,20,7,no
Public Class,net.sourceforge.subsonic.ajax.LyricsService,9,0,40,66,0,16,3,no
Public Class,net.sourceforge.subsonic.ajax.MultiService,16,0,49,75,0,21,8,yes
Public Class,net.sourceforge.subsonic.ajax.NetworkStatus,2,0,25,60,0,18,5,no
Public Class,net.sourceforge.subsonic.ajax.NowPlayingInfo,1,0,60,83,0,25,12,no
Public Class,net.sourceforge.subsonic.ajax.NowPlayingService,20,0,94,77,0,21,8,no
Public Class,net.sourceforge.subsonic.ajax.PlaylistInfo,2,0,53,33,0,16,3,no
Public Static Class,net.sourceforge.subsonic.ajax.PlaylistInfo.Entry,1,0,39,75,0,21,8,no
Public Class,net.sourceforge.subsonic.ajax.PlaylistService,22,0,180,76,0,36,23,no
Public Class,net.sourceforge.subsonic.ajax.PlayQueueInfo,4,0,154,80,0,24,11,no
Public Static Class,net.sourceforge.subsonic.ajax.PlayQueueInfo.Entry,2,0,101,90,0,33,20,no
Public Class,net.sourceforge.subsonic.ajax.PlayQueueService,34,0,469,93,0,69,56,yes
Public Class,net.sourceforge.subsonic.ajax.ScanInfo,0,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.ajax.SimilarArtist,1,0,13,33,0,16,3,no
Public Class,net.sourceforge.subsonic.ajax.StarService,6,0,21,66,0,18,5,no
Public Class,net.sourceforge.subsonic.ajax.TagService,12,0,64,44,0,16,3,no
Public Class,net.sourceforge.subsonic.ajax.TransferService,3,0,10,0,0,14,1,no
Public Class,net.sourceforge.subsonic.ajax.UploadInfo,0,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.cache.CacheFactory,6,0,13,50,0,15,2,no
Public Class,net.sourceforge.subsonic.command.AdvancedSettingsCommand,1,0,93,92,0,39,26,yes
Public Class,net.sourceforge.subsonic.command.EnumHolder,1,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.command.GeneralSettingsCommand,2,0,135,94,0,51,38,no
Public Class,net.sourceforge.subsonic.command.MusicFolderSettingsCommand,3,0,120,87,0,29,16,no
Public Static Class,net.sourceforge.subsonic.command.MusicFolderSettingsCommand.MusicFolderInfo,5,0,63,75,0,27,14,no
Public Class,net.sourceforge.subsonic.command.NetworkSettingsCommand,2,0,44,83,0,25,12,yes
Public Class,net.sourceforge.subsonic.command.PasswordSettingsCommand,1,0,36,80,0,23,10,no
Public Class,net.sourceforge.subsonic.command.PersonalSettingsCommand,6,0,163,95,0,59,46,yes
Public Class,net.sourceforge.subsonic.command.PlayerSettingsCommand,8,0,149,94,0,49,36,no
Public Static Class,net.sourceforge.subsonic.command.PlayerSettingsCommand.TranscodingHolder,1,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.command.PodcastSettingsCommand,1,0,37,80,0,23,10,no
Public Class,net.sourceforge.subsonic.command.SearchCommand,4,0,82,87,0,29,16,no
Public Static Class,net.sourceforge.subsonic.command.SearchCommand.Match,2,0,24,60,0,18,5,no
Public Class,net.sourceforge.subsonic.command.UserSettingsCommand,6,0,222,95,0,72,59,no
Public Abstract Class,net.sourceforge.subsonic.controller.AbstractChartController,4,2,14,0,0,16,3,no
Public Class,net.sourceforge.subsonic.controller.AdvancedSettingsController,8,0,48,0,1,16,3,yes
Public Class,net.sourceforge.subsonic.controller.AllmusicController,1,0,7,0,1,14,1,no
Public Class,net.sourceforge.subsonic.controller.AutoCoverDemo,9,0,30,0,0,14,1,no
Private Static Class,net.sourceforge.subsonic.controller.AutoCoverDemo.AlbumComponent,7,0,13,0,0,690,2,no
Public Class,net.sourceforge.subsonic.controller.AvatarController,9,0,41,25,0,17,4,no
Public Class,net.sourceforge.subsonic.controller.AvatarUploadController,20,0,71,50,1,17,4,no
Public Class,net.sourceforge.subsonic.controller.ChangeCoverArtController,7,0,26,0,1,15,2,no
Public Class,net.sourceforge.subsonic.controller.CoverArtController,40,0,479,91,0,34,21,yes
