Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.jute.BinaryInputArchive,9,0,18,31,79,0,79,no
org.apache.jute.BinaryInputArchive.BinaryIndex,0,0,3,16,11,0,0,no
org.apache.jute.BinaryInputArchiveTest,6,0,1,14,16,0,0,no
org.apache.jute.BinaryOutputArchive,11,1,18,31,88,0,72,yes
org.apache.jute.compiler.CGenerator,10,0,2,15,78,0,0,no
org.apache.jute.compiler.CppGenerator,10,0,2,15,75,0,0,no
org.apache.jute.compiler.CSharpGenerator,5,0,2,15,15,0,0,no
org.apache.jute.compiler.JavaGenerator,6,0,2,15,16,0,0,no
org.apache.jute.compiler.JBoolean,1,0,6,54,20,1,0,no
org.apache.jute.compiler.JBuffer,2,0,12,68,71,2,0,no
org.apache.jute.compiler.JByte,1,0,2,50,8,1,0,no
org.apache.jute.compiler.JCompType,1,5,8,56,33,1,0,no
org.apache.jute.compiler.JDouble,1,0,3,51,12,1,0,no
org.apache.jute.compiler.JField,2,0,27,40,86,0,33,no
org.apache.jute.compiler.JFile,8,0,3,16,39,0,22,no
org.apache.jute.compiler.JFloat,1,0,3,51,11,1,0,no
org.apache.jute.compiler.JInt,1,0,2,50,8,1,0,no
org.apache.jute.compiler.JLong,1,0,3,51,11,1,0,no
org.apache.jute.compiler.JMap,3,0,15,71,106,2,66,no
org.apache.jute.compiler.JRecord,15,0,26,82,667,2,83,no
org.apache.jute.compiler.JString,1,0,4,60,18,2,0,no
org.apache.jute.compiler.JType,1,7,35,48,143,0,87,no
org.apache.jute.compiler.JVector,4,0,17,73,110,2,70,no
org.apache.jute.CsvInputArchive,14,0,19,32,154,0,57,no
org.apache.jute.CsvInputArchive.CsvIndex,3,0,2,15,12,0,0,yes
org.apache.jute.CsvOutputArchive,9,0,19,32,99,0,44,yes
org.apache.jute.RecordReader,17,0,3,16,47,0,66,yes
org.apache.jute.RecordWriter,19,0,7,20,64,0,78,yes
org.apache.jute.Utils,7,0,12,25,190,0,91,no
org.apache.jute.XmlInputArchive,20,0,18,31,184,0,88,no
org.apache.jute.XmlInputArchive.Value,2,0,4,17,13,0,37,no
org.apache.jute.XmlInputArchive.XmlIndex,4,0,2,15,12,0,0,no
org.apache.jute.XmlInputArchive.XMLParser,5,0,6,37,44,0,41,no
org.apache.jute.XmlOutputArchive,15,0,28,41,188,0,64,yes
org.apache.zookeeper.client.ConnectStringParser,5,0,3,16,37,0,44,yes
org.apache.zookeeper.client.FourLetterWordMain,14,0,3,16,51,0,66,yes
org.apache.zookeeper.client.StaticHostProvider,12,0,4,17,55,0,50,yes
org.apache.zookeeper.client.ZooKeeperSaslClient,35,0,16,29,404,0,80,no
org.apache.zookeeper.client.ZooKeeperSaslClient.ClientCallbackHandler,9,0,2,15,61,0,0,no
org.apache.zookeeper.client.ZooKeeperSaslClient.ServerSaslResponseCallback,3,0,1,14,17,0,0,yes
org.apache.zookeeper.ClientCnxn,31,0,22,35,1018,0,93,no
org.apache.zookeeper.ClientCnxn.AuthData,1,0,1,14,8,0,0,yes
org.apache.zookeeper.ClientCnxn.EndOfStreamException,2,0,2,50,9,0,100,no
org.apache.zookeeper.ClientCnxn.EventThread,30,0,6,95,177,1,62,yes
org.apache.zookeeper.ClientCnxn.Packet,12,1,4,17,64,0,64,yes
org.apache.zookeeper.ClientCnxn.RWServerFoundException,1,0,1,49,5,0,100,no
org.apache.zookeeper.ClientCnxn.SendThread,49,0,17,106,507,1,85,yes
org.apache.zookeeper.ClientCnxn.SessionExpiredException,1,0,1,49,5,0,100,no
org.apache.zookeeper.ClientCnxn.SessionTimeoutException,1,0,1,49,5,0,100,no
org.apache.zookeeper.ClientCnxn.WatcherSetEventPair,2,0,1,14,8,0,0,no
org.apache.zookeeper.ClientCnxnSocket,17,1,24,37,88,0,92,yes
org.apache.zookeeper.ClientCnxnSocketNIO,30,1,20,57,298,1,63,yes
org.apache.zookeeper.ClientReconnectTest,13,0,1,14,36,1,0,yes
org.apache.zookeeper.ClientReconnectTest.MockCnxn,6,0,3,60,15,2,0,yes
org.apache.zookeeper.common.AtomicFileOutputStream,9,1,3,28,53,0,33,yes
org.apache.zookeeper.common.IOUtils,5,0,4,17,48,0,0,no
org.apache.zookeeper.common.PathTrie,7,0,5,18,157,0,40,no
org.apache.zookeeper.common.PathTrie.TrieNode,4,0,10,23,69,0,63,no
org.apache.zookeeper.common.PathUtils,2,0,2,15,63,0,0,yes
org.apache.zookeeper.Environment,8,0,3,16,63,0,100,yes
org.apache.zookeeper.Environment.Entry,2,0,4,17,14,0,25,yes
org.apache.zookeeper.graph.FilterException,1,0,1,45,3,0,0,no
org.apache.zookeeper.graph.FilterOp,13,7,6,19,45,0,50,no
org.apache.zookeeper.graph.filterops.AndOp,2,0,1,20,10,1,0,no
org.apache.zookeeper.graph.filterops.Arg,2,3,4,17,12,0,37,no
org.apache.zookeeper.graph.filterops.EqualsOp,5,0,1,20,18,1,0,no
org.apache.zookeeper.graph.filterops.GreaterThanOp,11,0,1,20,42,1,0,no
org.apache.zookeeper.graph.filterops.LessThanOp,11,0,1,20,42,1,0,no
org.apache.zookeeper.graph.filterops.NotOp,3,0,1,20,8,1,0,no
org.apache.zookeeper.graph.filterops.NumberArg,2,0,1,18,6,1,0,no
org.apache.zookeeper.graph.filterops.OrOp,2,0,1,20,10,1,0,no
org.apache.zookeeper.graph.filterops.StringArg,2,0,1,18,6,1,0,no
org.apache.zookeeper.graph.filterops.SymbolArg,2,0,1,18,6,1,0,no
org.apache.zookeeper.graph.filterops.XorOp,2,0,1,20,17,1,0,no
org.apache.zookeeper.graph.FilterParser,15,0,7,20,92,0,42,no
org.apache.zookeeper.graph.JsonGenerator,16,0,4,17,157,0,62,no
org.apache.zookeeper.graph.JsonGenerator.Message,0,0,2,15,15,0,0,no
org.apache.zookeeper.graph.Log4JEntry,3,0,5,23,17,1,0,no
org.apache.zookeeper.graph.Log4JSource,26,0,14,27,280,0,81,no
org.apache.zookeeper.graph.Log4JSource.Log4JSourceIterator,21,0,9,22,141,0,70,no
org.apache.zookeeper.graph.LogEntry,4,2,5,18,18,0,40,no
org.apache.zookeeper.graph.LogServer,12,0,2,15,24,1,0,no
org.apache.zookeeper.graph.LogSkipList,4,0,3,16,48,0,0,no
org.apache.zookeeper.graph.LogSkipList.Mark,1,0,5,18,16,0,40,no
org.apache.zookeeper.graph.MeasureThroughput,14,0,1,14,60,0,0,no
org.apache.zookeeper.graph.MergedLogSource,14,0,11,24,135,0,70,no
org.apache.zookeeper.graph.MergedLogSource.MergedLogSourceIterator,9,0,7,20,67,0,83,no
org.apache.zookeeper.graph.RandomAccessFileReader,15,0,24,49,230,0,86,no
org.apache.zookeeper.graph.servlets.FileLoader,5,0,2,17,21,2,0,no
