CBO,WMC,SLOC,DIT,LCOM,Output
4,2,24,0,0,Balance
6,2,51,0,50,Balance
8,5,27,1,70,Balance
5,19,57,3,0,Balance
3,7,21,3,0,Balance
3,40,79,0,95,Balance
6,19,57,3,0,Balance
17,6,79,1,0,Balance
13,10,62,0,44,Balance
16,3,72,1,66,Balance
4,13,61,1,0,Balance
1,1,6,1,0,Gmean1
6,22,101,1,59,Balance
6,31,145,0,85,Balance
3,10,37,0,50,Balance
17,26,219,0,95,Fmes
6,16,93,1,76,Balance
8,33,442,2,90,Balance
7,36,207,1,87,Balance
4,11,71,0,27,Balance
20,43,354,0,97,Balance
11,11,70,0,0,Balance
7,5,21,0,19,Balance
9,6,71,1,62,Balance
17,7,126,1,71,Precision
8,6,65,1,79,Balance
12,27,380,2,89,Balance
11,28,164,1,83,Gmean1
4,1,8,2,0,Balance
18,3,108,0,76,Gmean1
11,3,52,0,0,Balance
2,2,10,0,0,Balance
8,5,25,1,60,Balance
4,20,102,0,30,Balance
4,26,90,0,3,Balance
11,8,63,0,68,Balance
14,33,226,0,80,Gmean1
8,6,45,1,66,Balance
16,3,86,1,0,Balance
3,21,85,0,84,Balance
3,2,16,0,0,Balance
18,26,216,0,95,Gmean1
4,25,75,3,0,Balance
21,14,148,0,75,Gmean1
4,4,33,0,41,Balance
8,5,20,0,19,Balance
3,0,7,0,0,Balance
4,7,30,1,64,Balance
17,9,81,1,72,Balance
3,2,15,0,50,Balance
46,20,383,1,83,Balance
2,4,12,3,0,Balance
8,9,53,0,66,Balance
2,2,11,0,0,Balance
0,5,19,0,40,Balance
8,4,27,0,56,Balance
0,2,15,1,50,Balance
3,4,160,0,75,Balance
12,22,110,1,45,Balance
6,27,152,0,85,Balance
1,2,8,1,0,Balance
16,2,59,1,0,Balance
22,24,180,1,79,Balance
1,4,15,0,100,Balance
15,6,51,0,83,Balance
15,9,163,0,88,Balance
6,9,41,0,61,Balance
7,3,24,0,0,Balance
8,3,14,1,0,Balance
17,27,168,2,89,Gmean1
6,2,10,1,0,Balance
12,12,136,1,73,Balance
0,4,16,0,50,Balance
8,12,71,1,69,Balance
5,1,6,0,0,Balance
4,4,27,2,50,Balance
9,9,78,0,70,Balance
8,3,34,0,0,Balance
5,3,15,0,0,Balance
4,4,20,0,37,Balance
15,20,85,1,95,Balance
2,4,21,0,25,Balance
16,6,64,0,0,Balance
4,15,54,0,6,Balance
2,7,26,0,66,Balance
9,4,34,1,37,Balance
7,18,218,2,85,Balance
10,1,19,2,0,Balance
5,4,30,0,0,Balance
21,26,308,0,94,Balance
11,23,153,0,0,Balance
2,10,61,1,0,Balance
10,3,52,0,0,Balance
5,4,27,1,50,Balance
12,10,82,3,60,Balance
15,11,165,0,72,Balance
11,29,183,1,92,Balance
4,5,113,0,65,Balance
7,11,88,0,72,Balance
7,12,144,2,86,Balance
9,10,48,1,55,Balance
3,1,7,1,0,Balance
13,6,60,1,66,Balance
9,8,74,1,70,Balance
3,3,42,0,0,Balance
16,14,127,1,57,Balance
8,15,153,1,0,Balance
8,15,93,0,81,Balance
25,4,174,0,0,Balance
24,21,171,0,88,Balance
3,10,30,3,0,Balance
0,2,8,0,50,Balance
1,2,8,1,0,Balance
6,5,27,1,60,Balance
2,3,16,0,66,Balance
3,4,24,1,75,Gmean1
18,6,170,0,100,Balance
4,13,41,0,0,Balance
7,2,41,0,0,Balance
35,36,460,1,90,Balance
15,28,272,1,10,Balance
9,27,377,2,89,Balance
5,1,13,2,0,Balance
22,14,120,0,61,Balance
4,3,14,1,0,Balance
4,5,27,2,40,Balance
19,4,141,0,75,Balance
15,3,30,0,0,Balance
2,10,46,0,30,Balance
8,20,150,0,42,Balance
9,10,45,1,0,Balance
9,3,23,2,50,Balance
0,1,6,1,0,Fmes
16,7,62,0,0,Balance
6,11,53,0,87,Balance
5,5,46,1,70,Balance
17,11,83,1,78,Balance
3,7,21,3,0,Balance
5,8,48,1,62,Balance
5,8,48,1,62,Balance
2,4,12,3,0,Balance
20,12,107,0,56,Balance
3,6,43,0,16,Balance
3,4,96,0,37,Balance
42,38,632,1,89,Balance
2,6,21,1,0,Balance
1,2,8,1,0,Fmes
1,5,20,0,0,Balance
3,8,38,0,31,Balance
5,8,42,2,12,Balance
10,3,22,1,0,Balance
14,7,65,1,84,Balance
4,5,31,0,40,Balance
1,1,10,0,0,Balance
4,10,37,0,66,Balance
17,3,93,1,66,Balance
5,28,148,0,92,Balance
58,36,785,1,89,Gmes
3,3,15,0,16,Balance
10,7,115,0,0,Balance
11,2,14,2,0,Balance
1,2,8,1,0,Balance
