CBO,WMC,SLOC,Output
32,22,239,Precision
0,5,8,Accuracy
6,8,38,Fmes
7,5,26,Accuracy
6,12,88,Fmes
20,4,54,Gmean1
6,5,25,Accuracy
11,3,45,Gmean1
9,1,80,Accuracy
2,2,13,Accuracy
1,4,20,Accuracy
1,0,3,Accuracy
3,2,10,Accuracy
3,2,9,Accuracy
5,5,26,Accuracy
3,1,8,Accuracy
16,16,122,Accuracy
6,6,41,Accuracy
35,28,329,Balance
20,12,100,Accuracy
10,2,55,Accuracy
24,31,207,Gmean2
17,5,62,Accuracy
19,6,100,Accuracy
6,3,28,Balance
15,9,133,Accuracy
2,5,31,Accuracy
23,11,151,Gmean2
7,15,86,Precision
6,10,52,Gmean2
1,2,11,Accuracy
9,7,52,Gmean2
9,1,38,Accuracy
8,3,42,Accuracy
4,2,18,Accuracy
4,2,18,Accuracy
4,1,12,Accuracy
0,0,87,Accuracy
7,2,18,Accuracy
8,2,30,Accuracy
12,6,66,Gmean2
14,3,50,Accuracy
6,2,12,Accuracy
10,2,31,Accuracy
11,5,50,Gmean1
6,1,11,Balance
6,3,20,Accuracy
9,2,42,Accuracy
36,10,430,Accuracy
7,1,13,Balance
7,1,23,Accuracy
11,27,131,Balance
20,9,86,Accuracy
6,1,9,Balance
1,1,27,Accuracy
7,4,20,Balance
2,4,13,Balance
19,2,95,Gmean2
1,1,6,Accuracy
3,2,14,Accuracy
12,6,176,Gmes
6,2,28,Accuracy
12,3,64,Fmes
17,4,325,Balance
1,3,12,Accuracy
7,1,37,Accuracy
25,10,267,Balance
1,2,9,Accuracy
8,1,15,Accuracy
9,2,27,Accuracy
6,2,12,Accuracy
9,1,32,Accuracy
11,1,20,Balance
18,6,85,Accuracy
5,1,17,Accuracy
19,5,83,Accuracy
6,2,48,Gmean1
13,13,93,Accuracy
10,4,64,Accuracy
29,2,94,Accuracy
8,9,123,Accuracy
59,39,748,Accuracy
6,5,22,Accuracy
4,8,42,Accuracy
2,2,12,Accuracy
9,8,27,Accuracy
9,2,24,Accuracy
17,2,104,Accuracy
9,2,37,Accuracy
3,3,20,Accuracy
7,2,18,Accuracy
9,3,106,Accuracy
20,12,196,Gmean2
9,5,38,Accuracy
0,7,27,Accuracy
9,2,20,Accuracy
21,19,385,Accuracy
2,2,14,Precision
37,14,370,Accuracy
25,2,73,Balance
11,19,106,Accuracy
15,27,154,Accuracy
45,7,128,Accuracy
3,1,13,Gmean2
6,1,16,Balance
6,2,48,Balance
24,3,83,Accuracy
4,4,17,Accuracy
10,11,75,Gmes
4,1,6,Accuracy
17,3,48,Balance
6,8,38,Accuracy
6,8,38,Accuracy
2,6,31,Accuracy
9,7,34,Accuracy
12,13,77,Gmes
30,11,228,Gmean2
7,1,19,Accuracy
13,1,65,Balance
6,2,23,Accuracy
3,9,43,Accuracy
5,4,18,Accuracy
9,3,54,Accuracy
30,50,233,Balance
12,3,28,Accuracy
20,1,50,Accuracy
4,6,25,Accuracy
8,3,20,Balance
15,6,171,Accuracy
8,2,42,Accuracy
15,2,40,Accuracy
2,1,11,Accuracy
18,5,84,Accuracy
5,10,48,Gmean1
2,3,18,Accuracy
0,3,15,Accuracy
1,2,9,Accuracy
7,8,49,Fmes
6,8,38,Balance
6,8,38,Balance
4,2,17,Accuracy
16,18,75,Fmes
12,7,205,Accuracy
9,1,20,Accuracy
3,1,10,Accuracy
19,3,137,Gmean1
16,2,84,Accuracy
6,2,26,Accuracy
1,1,7,Accuracy
3,3,26,Accuracy
13,17,85,Accuracy
44,36,350,Balance
18,12,339,Accuracy
9,12,87,Accuracy
2,2,4,Accuracy
10,2,54,Balance
5,2,10,Gmean2
13,5,75,Balance
4,1,35,Accuracy
25,2,61,Accuracy
11,17,110,Accuracy
5,2,16,Accuracy
1,1,3,Accuracy
2,1,6,Accuracy
20,10,180,Fmes
2,3,11,Accuracy
7,1,16,Accuracy
11,3,48,Accuracy
4,5,20,Accuracy
8,1,23,Accuracy
4,1,10,Accuracy
17,2,99,Balance
3,2,14,Accuracy
29,6,292,Gmes
17,2,34,Balance
2,3,14,Accuracy
3,8,47,Accuracy
6,13,64,Precision
57,57,675,Balance
13,5,68,Balance
16,3,64,Gmean1
18,9,88,Accuracy
11,7,81,Balance
2,6,37,Accuracy
10,2,25,Balance
20,21,286,Accuracy
2,1,10,Accuracy
10,3,67,Balance
3,14,89,Accuracy
8,5,43,Accuracy
4,3,20,Accuracy
6,9,44,Accuracy
5,5,22,Accuracy
9,9,112,Accuracy
7,9,37,Accuracy
8,1,28,Accuracy
5,4,16,Accuracy
8,1,13,Accuracy
11,12,80,Balance
10,12,68,Accuracy
4,1,10,Accuracy
1,0,4,Accuracy
14,2,42,Accuracy
19,5,142,Balance
23,1,65,Accuracy
8,17,128,Accuracy
62,39,898,Accuracy
19,1,37,Balance
12,35,208,Accuracy
20,9,65,Accuracy
11,8,53,Accuracy
8,2,10,Accuracy
3,2,11,Accuracy
9,3,38,Accuracy
8,1,7,Accuracy
18,5,114,Accuracy
12,8,143,Gmean2
5,5,31,Balance
5,5,22,Balance
7,1,16,Fmes
8,2,19,Gmean1
13,6,84,Gmean2
17,2,144,Gmean1
14,2,67,Gmean1
10,5,37,Balance
8,10,36,Balance
13,4,42,Fmes
4,5,17,Balance
16,4,86,Fmes
7,3,42,Fmes
1,1,10,Accuracy
9,1,46,Accuracy
16,16,115,Accuracy
12,17,125,Accuracy
5,5,22,Accuracy
12,16,212,Accuracy
17,2,70,Accuracy
7,5,54,Accuracy
17,3,66,Accuracy
11,16,141,Accuracy
34,15,427,Accuracy
6,2,33,Accuracy
2,3,13,Accuracy
20,3,81,Precision
12,11,83,Accuracy
20,24,441,Gmean2
1,3,12,Accuracy
8,6,37,Accuracy
3,5,25,Accuracy
12,3,29,Accuracy
7,2,64,Accuracy
4,3,11,Accuracy
24,5,271,Balance
3,9,52,Accuracy
8,5,61,Accuracy
9,2,29,Accuracy
7,2,35,Accuracy
25,67,613,Gmean2
4,3,10,Accuracy
5,11,53,Accuracy
1,1,6,Accuracy
11,2,31,Balance
2,1,6,Accuracy
28,17,307,Accuracy
8,5,55,Accuracy
32,2,111,Accuracy
1,1,4,Gmean2
9,10,108,Balance
20,4,99,Accuracy
6,10,46,Balance
