CBO,SLOC,LCOM,WMC,Output
33,528,81,104,Balance
14,188,46,43,Gmean1
21,194,80,40,Balance
15,112,69,20,Balance
2,5,0,0,Balance
19,56,0,15,Balance
3,41,16,10,Balance
8,323,78,36,Balance
13,240,60,43,Balance
12,460,55,8,Gmean1
21,482,79,92,Balance
3,23,0,5,Fmes
5,84,44,12,Fmes
10,282,92,68,Balance
9,253,73,30,Gmean1
4,7,0,2,Balance
1,11,0,1,Balance
12,194,46,14,Balance
1,358,62,86,Balance
0,16,12,2,Balance
14,324,94,37,Balance
1,88,21,12,Balance
4,49,33,11,Balance
2,50,50,8,Balance
8,196,73,32,Balance
3,67,60,11,Balance
4,85,52,13,Fmes
3,115,56,23,Fmes
9,200,81,31,Balance
6,54,61,11,Balance
9,75,62,13,Gmean1
20,391,75,57,Balance
7,84,47,9,Fmes
4,192,64,22,Balance
0,5,0,1,Balance
9,36,0,11,Balance
3,6,0,1,Fmes
2,76,71,14,Balance
2,49,60,12,Balance
0,53,77,15,Balance
8,672,88,130,Balance
7,63,41,9,Balance
5,55,0,13,Balance
3,30,0,2,Balance
61,572,95,88,Balance
18,91,64,10,Balance
27,337,86,55,Balance
18,183,100,44,Gmes
18,123,75,24,Gmes
2,45,33,9,Balance
2,138,68,32,Balance
6,102,52,27,Balance
0,4,0,0,Balance
1,5,0,0,Balance
1,10,0,1,Balance
7,33,0,7,Balance
2,39,33,3,Balance
11,106,6,3,Balance
4,229,41,18,Fmes
7,73,23,19,Balance
2,421,69,60,Fmes
6,77,60,11,Balance
1,163,89,19,Balance
4,72,58,8,Balance
0,54,0,14,Balance
2,43,0,5,Balance
19,212,67,34,Fmes
18,116,7,28,Balance
18,418,76,72,Balance
0,22,25,5,Balance
4,127,48,19,Balance
7,761,79,63,Balance
4,50,44,8,Balance
9,61,0,17,Balance
9,180,73,28,Balance
14,329,62,41,Balance
9,233,46,12,Balance
12,129,33,21,Fmes
16,507,73,58,Gmean1
22,325,72,59,Precision
2,86,71,14,Gmean1
5,36,71,7,Balance
6,98,50,15,Balance
0,5,0,1,Balance
4,83,90,21,Fmes
3,6,0,1,Balance
3,215,67,55,Balance
0,9,0,1,Balance
13,94,75,14,Gmean1
7,97,43,12,Balance
10,105,88,25,Gmean1
9,111,75,17,Balance
0,4,0,0,Balance
21,201,80,36,Gmean1
21,196,76,36,Gmean1
5,9,0,0,Balance
21,567,70,75,Balance
13,137,0,27,Balance
31,494,83,89,Balance
11,191,59,33,Balance
4,59,19,15,Gmean1
29,229,87,31,Balance
3,37,0,4,Balance
3,58,39,11,Balance
8,145,71,36,Gmes
1,69,24,12,Balance
19,339,92,87,Balance
4,117,9,24,Balance
25,432,88,56,Balance
0,12,0,1,Balance
30,837,83,146,Balance
8,203,72,31,Balance
4,38,44,6,Balance
3,65,60,12,Balance
8,172,71,26,Balance
4,50,44,8,Balance
0,7,100,1,Balance
9,194,51,46,Balance
6,299,73,46,Balance
0,42,0,10,Balance
13,484,76,82,Balance
10,206,18,33,Balance
22,324,72,59,Gmean1
6,68,0,6,Balance
0,75,61,13,Balance
4,74,25,18,Balance
4,39,71,7,Fmes
0,14,0,2,Balance
7,77,0,12,Gmean1
0,24,0,3,Balance
3,25,33,2,Balance
2,34,44,7,Balance
13,95,75,14,Gmean1
18,249,83,54,Balance
2,151,44,24,Balance
0,4,0,0,Balance
11,137,78,21,Balance
0,114,84,27,Balance
18,696,70,137,Balance
11,222,76,33,Balance
0,55,0,15,Balance
16,346,65,39,Gmean1
6,195,48,17,Balance
14,257,75,47,Gmean1
32,817,91,173,Balance
2,452,76,74,Fmes
4,109,42,28,Balance
15,240,68,36,Precision
6,88,0,20,Gmean1
6,37,0,9,Balance
7,51,0,11,Balance
6,59,4,2,Balance
5,40,75,14,Balance
2,144,6,36,Balance
23,725,80,123,Gmean1
2,33,0,8,Balance
3,56,85,12,Fmes
1,38,0,5,Balance
4,52,44,7,Balance
4,38,44,6,Balance
3,91,51,16,Balance
5,94,65,19,Fmes
18,392,89,97,Balance
3,88,59,18,Balance
5,219,86,59,Balance
7,123,67,21,Balance
6,76,36,22,Fmes
4,78,75,11,Fmes
7,55,16,9,Fmes
9,83,52,23,Balance
0,11,0,2,Balance
4,6,0,1,Balance
1,25,0,4,Balance
1,57,71,13,Balance
0,24,40,5,Balance
4,33,0,2,Balance
15,104,77,16,Balance
38,1220,94,240,Balance
15,161,59,24,Balance
11,263,79,49,Fmes
39,1141,94,242,Balance
3,80,66,14,Balance
1,19,0,3,Balance
12,234,73,28,Balance
7,372,60,92,Fmes
0,12,0,1,Balance
13,471,74,97,Accuracy
6,105,93,34,Fmes
0,65,0,15,Balance
8,89,22,24,Balance
10,154,52,18,Fmes
20,214,65,37,Precision
1,153,0,25,Balance
4,163,28,18,Fmes
10,287,86,43,Balance
6,153,68,18,Fmes
0,36,0,6,Balance
21,491,73,64,Balance
15,287,93,35,Fmes
6,75,98,13,Balance
0,64,9,12,Balance
4,108,60,20,Fmes
4,55,18,11,Balance
11,484,83,77,Balance
3,43,66,10,Balance
4,95,44,13,Fmes
68,976,87,193,Balance
3,62,54,11,Balance
6,130,49,18,Fmes
3,21,50,4,Balance
18,434,84,62,Balance
10,104,64,18,Fmes
4,6,0,1,Fmes
3,6,0,1,Balance
9,526,89,62,Accuracy
0,155,67,28,Balance
1,1165,98,111,Balance
0,18,0,2,Balance
3,67,0,2,Gmean1
5,523,87,79,Balance
20,231,74,36,Gmean1
22,241,81,54,Gmean1
5,40,77,10,Balance
1,12,0,2,Balance
4,84,76,17,Balance
