CBO,WMC,SLOC,Output
11,4,40,Accuracy
9,15,61,Accuracy
3,2,18,Accuracy
59,58,816,Accuracy
14,11,157,Accuracy
8,3,38,Accuracy
17,8,117,Balance
15,6,69,Accuracy
17,1,69,Accuracy
8,1,14,Accuracy
4,4,57,Accuracy
3,15,54,Accuracy
2,2,17,Accuracy
33,2,235,Accuracy
9,2,69,Accuracy
2,1,6,Accuracy
13,12,143,Gmean1
14,7,54,Accuracy
4,12,48,Accuracy
4,2,28,Accuracy
10,3,26,Accuracy
8,9,80,Accuracy
6,2,36,Accuracy
16,41,194,Precision
13,37,188,Accuracy
13,1,65,Accuracy
12,2,27,Accuracy
2,18,66,Accuracy
4,13,46,Accuracy
2,24,86,Gmean1
2,6,23,Accuracy
1,6,23,Accuracy
1,1,15,Accuracy
2,1,34,Accuracy
0,1,18,Accuracy
2,2,31,Accuracy
0,1,17,Accuracy
1,1,26,Accuracy
0,1,23,Accuracy
2,2,23,Accuracy
3,3,17,Accuracy
2,5,34,Accuracy
13,5,77,Accuracy
9,4,147,Accuracy
10,3,264,Accuracy
29,29,817,Accuracy
9,4,182,Accuracy
5,2,58,Accuracy
12,4,192,Accuracy
4,2,38,Accuracy
13,7,181,Accuracy
13,6,278,Accuracy
14,6,295,Accuracy
10,6,147,Accuracy
9,1,72,Accuracy
10,5,157,Accuracy
8,1,58,Accuracy
15,3,163,Accuracy
9,3,86,Accuracy
10,2,72,Accuracy
6,4,185,Accuracy
0,1,99,Accuracy
5,3,317,Accuracy
3,4,60,Accuracy
3,4,1083,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
4,6,81,Accuracy
6,2,12,Accuracy
3,3,13,Accuracy
13,15,98,Accuracy
11,11,87,Accuracy
4,4,28,Accuracy
13,5,78,Balance
5,4,39,Accuracy
16,1,58,Accuracy
35,1,303,Accuracy
24,3,117,Accuracy
18,1,65,Accuracy
68,25,644,Accuracy
34,13,297,Accuracy
2,1,4,Accuracy
23,12,202,Gmean1
5,11,136,Accuracy
55,11,397,Fmes
26,43,348,Precision
12,14,73,Accuracy
28,20,154,Accuracy
1,9,33,Accuracy
22,10,236,Accuracy
5,2,15,Accuracy
11,58,587,Precision
28,38,321,Fmes
6,4,37,Accuracy
8,6,90,Accuracy
5,3,22,Accuracy
19,12,124,Fmes
2,10,35,Accuracy
12,1,33,Accuracy
17,2,86,Accuracy
24,12,130,Fmes
9,45,185,Accuracy
15,16,143,Accuracy
3,13,49,Accuracy
5,4,41,Accuracy
11,1,26,Accuracy
8,6,42,Accuracy
13,3,107,Gmean1
5,9,42,Accuracy
4,7,44,Accuracy
29,13,160,Gmean2
24,7,104,Gmean1
1,2,9,Accuracy
1,2,9,Accuracy
31,27,282,Accuracy
18,13,183,Fmes
31,33,236,Accuracy
15,3,49,Accuracy
8,1,25,Accuracy
1,0,7,Accuracy
34,22,388,Accuracy
16,10,98,Fmes
31,9,173,Gmean2
5,16,79,Fmes
2,8,30,Accuracy
6,12,69,Accuracy
3,13,47,Balance
8,3,145,Accuracy
0,2,22,Accuracy
0,1,12,Accuracy
2,1,25,Accuracy
2,1,13,Accuracy
2,1,15,Accuracy
4,5,105,Accuracy
9,23,134,Accuracy
5,11,101,Accuracy
4,2,46,Accuracy
8,7,88,Accuracy
10,3,83,Accuracy
7,3,190,Accuracy
10,6,177,Accuracy
3,1,17,Accuracy
6,5,34,Accuracy
6,12,88,Accuracy
9,25,227,Accuracy
11,6,171,Accuracy
10,2,69,Accuracy
9,2,84,Accuracy
21,7,282,Gmean1
1,3,15,Accuracy
9,1,134,Accuracy
10,5,165,Accuracy
2,1,12,Accuracy
12,3,243,Gmean1
24,13,314,Accuracy
2,1,26,Accuracy
7,3,131,Accuracy
6,1,59,Accuracy
14,8,50,Accuracy
2,2,16,Accuracy
1,1,40,Accuracy
2,2,16,Accuracy
1,1,40,Accuracy
1,1,24,Accuracy
2,3,54,Accuracy
2,3,54,Accuracy
2,2,14,Accuracy
2,2,67,Accuracy
4,3,14,Accuracy
10,2,21,Accuracy
1,1,394,Accuracy
7,3,64,Accuracy
18,1,55,Accuracy
20,1,68,Accuracy
21,1,67,Gmean1
11,8,105,Accuracy
40,5,198,Accuracy
19,13,140,Fmes
27,3,136,Accuracy
1,1,6,Accuracy
12,17,128,Accuracy
4,9,37,Accuracy
17,8,99,Fmes
0,0,5,Accuracy
11,10,77,Gmean1
9,12,16,Accuracy
16,13,166,Gmean1
18,7,158,Accuracy
7,4,32,Accuracy
7,3,39,Accuracy
10,17,68,Accuracy
7,4,49,Accuracy
30,36,453,Accuracy
7,5,41,Accuracy
54,33,736,Accuracy
11,17,79,Accuracy
2,11,38,Accuracy
14,10,144,Accuracy
19,43,319,Accuracy
9,6,52,Balance
2,1,4,Accuracy
2,5,30,Accuracy
10,1,13,Accuracy
13,3,38,Accuracy
20,8,101,Gmean1
1,2,9,Accuracy
5,1,22,Accuracy
3,7,33,Accuracy
7,57,208,Accuracy
1,2,50,Accuracy
10,32,170,Precision
2,19,68,Accuracy
1,14,56,Accuracy
2,12,45,Accuracy
2,18,72,Accuracy
1,14,51,Accuracy
1,2,9,Accuracy
0,1,12,Accuracy
1,1,16,Accuracy
1,1,29,Accuracy
1,1,19,Accuracy
9,7,53,Accuracy
3,19,83,Accuracy
4,2,23,Accuracy
4,2,54,Accuracy
21,5,518,Accuracy
22,1,634,Gmean1
12,4,151,Accuracy
14,2,146,Accuracy
7,2,59,Accuracy
12,3,109,Accuracy
8,3,88,Accuracy
11,2,57,Accuracy
5,1,75,Accuracy
12,6,269,Accuracy
7,2,86,Accuracy
7,1,23,Accuracy
7,1,78,Accuracy
11,7,180,Accuracy
11,5,119,Accuracy
7,1,85,Accuracy
10,4,195,Accuracy
14,2,249,Accuracy
10,3,134,Accuracy
16,3,220,Accuracy
5,1,91,Accuracy
30,6,260,Accuracy
9,1,196,Accuracy
9,1,76,Accuracy
1,2,30,Accuracy
6,3,132,Accuracy
9,7,158,Accuracy
11,3,114,Accuracy
13,4,339,Accuracy
7,1,92,Accuracy
2,1,86,Accuracy
1,2,22,Accuracy
7,2,15,Accuracy
0,1,5,Accuracy
0,7,28,Accuracy
2,3,12,Accuracy
3,3,17,Accuracy
1,1,15,Accuracy
15,1,43,Accuracy
14,1,64,Accuracy
16,1,41,Accuracy
15,10,99,Accuracy
15,9,97,Gmean1
12,10,53,Accuracy
1,1,9,Accuracy
4,10,38,Accuracy
1,10,37,Accuracy
14,18,110,Gmean1
5,5,20,Accuracy
7,11,44,Accuracy
53,36,649,Fmes
22,18,229,Accuracy
15,8,89,Accuracy
24,16,117,Accuracy
17,122,517,Accuracy
17,11,82,Accuracy
10,5,65,Accuracy
15,2,35,Accuracy
6,5,43,Accuracy
16,8,73,Accuracy
7,2,26,Accuracy
4,5,26,Accuracy
15,1,31,Accuracy
7,4,27,Accuracy
3,13,50,Accuracy
11,1,65,Accuracy
1,2,9,Accuracy
22,29,587,Accuracy
24,22,171,Gmean1
14,4,48,Accuracy
2,18,64,Accuracy
6,3,34,Accuracy
11,13,115,Accuracy
3,31,123,Accuracy
8,103,415,Accuracy
5,39,143,Accuracy
2,18,66,Accuracy
1,36,129,Balance
2,20,72,Accuracy
2,12,45,Accuracy
1,1,12,Accuracy
2,1,23,Accuracy
0,1,15,Accuracy
1,2,17,Accuracy
0,1,18,Accuracy
2,1,26,Accuracy
0,1,14,Accuracy
1,2,9,Accuracy
19,59,533,Accuracy
7,2,67,Accuracy
3,2,35,Accuracy
27,11,415,Gmean1
11,3,97,Accuracy
24,27,589,Gmean1
17,5,198,Accuracy
5,1,53,Accuracy
9,2,57,Accuracy
10,7,163,Accuracy
11,6,250,Accuracy
17,11,254,Accuracy
8,6,114,Accuracy
10,7,129,Accuracy
11,2,65,Accuracy
15,4,271,Accuracy
11,4,140,Accuracy
6,1,55,Accuracy
9,1,161,Balance
12,3,109,Accuracy
5,1,21,Accuracy
4,1,38,Accuracy
10,2,123,Accuracy
7,1,41,Accuracy
5,3,70,Accuracy
4,1,59,Accuracy
22,3,90,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,3,20,Accuracy
2,2,16,Accuracy
2,2,18,Accuracy
2,3,8,Accuracy
10,12,147,Accuracy
15,9,77,Accuracy
3,3,11,Accuracy
5,1,30,Accuracy
16,16,86,Accuracy
23,14,175,Accuracy
1,1,388,Accuracy
11,3,51,Accuracy
19,1,60,Accuracy
17,1,45,Accuracy
95,51,1363,Accuracy
23,7,133,Gmean1
37,7,238,Accuracy
7,2,47,Accuracy
15,51,233,Gmean1
21,30,429,Accuracy
4,6,25,Accuracy
6,9,54,Accuracy
5,1,10,Accuracy
14,39,162,Gmean1
7,25,100,Accuracy
21,6,105,Accuracy
24,3,146,Accuracy
7,1,11,Accuracy
16,10,131,Accuracy
1,9,32,Accuracy
5,1,22,Accuracy
11,3,55,Accuracy
6,4,47,Accuracy
11,2,46,Accuracy
2,1,28,Accuracy
5,6,42,Accuracy
3,3,16,Accuracy
5,39,185,Accuracy
9,8,54,Accuracy
2,5,229,Accuracy
8,1,14,Accuracy
7,1,24,Accuracy
11,8,86,Accuracy
7,25,111,Gmean1
10,8,103,Accuracy
3,5,23,Accuracy
12,2,41,Accuracy
7,4,34,Accuracy
5,34,129,Precision
2,1,8,Accuracy
7,4,22,Accuracy
2,8,30,Accuracy
3,9,50,Accuracy
2,10,40,Accuracy
2,10,37,Accuracy
2,16,59,Gmean1
1,1,13,Accuracy
0,1,18,Accuracy
1,1,18,Accuracy
2,1,24,Accuracy
4,2,12,Accuracy
1,2,31,Accuracy
10,5,148,Accuracy
6,5,58,Accuracy
8,3,170,Accuracy
6,1,64,Accuracy
14,6,108,Accuracy
9,4,165,Accuracy
12,1,123,Accuracy
14,5,177,Accuracy
5,2,46,Accuracy
6,1,60,Accuracy
37,17,702,Balance
9,6,147,Accuracy
8,3,132,Accuracy
11,11,239,Gmean1
10,7,180,Gmean1
29,15,176,Gmes
3,1,21,Accuracy
8,1,128,Gmean1
8,7,145,Accuracy
3,1,103,Accuracy
9,8,142,Accuracy
8,2,138,Accuracy
12,3,84,Accuracy
16,8,224,Fmes
7,3,55,Accuracy
15,4,200,Accuracy
7,2,60,Accuracy
10,3,168,Accuracy
9,2,208,Accuracy
7,3,216,Accuracy
4,1,22,Accuracy
10,4,187,Accuracy
8,1,64,Accuracy
11,9,76,Accuracy
2,2,21,Accuracy
1,1,40,Accuracy
1,2,11,Accuracy
4,3,12,Accuracy
18,3,46,Accuracy
18,1,53,Accuracy
12,1,42,Accuracy
16,1,54,Accuracy
20,1,121,Accuracy
21,2,82,Accuracy
22,3,107,Accuracy
20,5,143,Accuracy
27,17,248,Accuracy
50,27,715,Balance
17,1,65,Accuracy
3,5,32,Accuracy
5,7,102,Accuracy
9,17,85,Fmes
1,1,6,Accuracy
14,25,148,Precision
42,32,547,Accuracy
1,40,142,Accuracy
26,2,181,Accuracy
6,3,27,Accuracy
21,7,109,Accuracy
29,8,165,Accuracy
35,79,1714,Accuracy
8,1,17,Accuracy
5,42,155,Accuracy
13,5,41,Gmean1
2,0,4,Accuracy
15,1,55,Gmean1
37,9,207,Gmean1
22,8,149,Gmean1
16,2,48,Accuracy
12,6,125,Gmean1
9,8,64,Accuracy
24,3,128,Gmean1
24,3,91,Gmean1
19,4,106,Accuracy
6,2,11,Accuracy
14,36,142,Precision
19,4,126,Accuracy
8,4,32,Accuracy
11,79,333,Accuracy
39,35,249,Balance
19,2,49,Accuracy
17,7,96,Gmean1
2,6,23,Accuracy
2,11,48,Accuracy
5,43,152,Gmean1
2,32,112,Accuracy
1,8,30,Accuracy
1,1,19,Accuracy
1,1,13,Accuracy
3,3,60,Accuracy
1,2,8,Accuracy
1,1,7,Accuracy
1,1,8,Accuracy
3,3,50,Accuracy
8,11,84,Accuracy
6,4,99,Accuracy
10,4,72,Accuracy
9,3,58,Accuracy
9,7,95,Accuracy
1,3,16,Accuracy
3,2,34,Accuracy
12,3,113,Gmean1
12,7,181,Gmean1
8,1,172,Accuracy
10,8,216,Accuracy
6,2,71,Accuracy
8,2,118,Accuracy
13,12,152,Gmean1
2,2,56,Accuracy
15,4,275,Gmean1
6,1,61,Accuracy
12,4,132,Gmean1
10,1,123,Accuracy
6,3,68,Accuracy
12,2,255,Accuracy
24,7,118,Gmean1
11,5,195,Accuracy
8,5,55,Accuracy
19,10,358,Accuracy
2,3,11,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,3,54,Accuracy
1,7,90,Accuracy
13,22,211,Accuracy
6,3,23,Accuracy
7,1,8,Accuracy
7,3,44,Accuracy
9,3,39,Accuracy
14,2,29,Gmean1
19,9,124,Accuracy
5,3,24,Accuracy
5,1,17,Accuracy
7,2,40,Accuracy
10,4,55,Accuracy
22,7,95,Gmean1
13,1,49,Gmean1
15,1,51,Gmean1
13,1,45,Gmean1
23,1,104,Gmean1
22,1,62,Gmean1
17,6,53,Gmean1
15,7,51,Gmean1
6,1,28,Accuracy
1,2,8,Accuracy
9,114,428,Accuracy
2,6,22,Accuracy
0,6,22,Accuracy
14,55,282,Accuracy
7,3,27,Accuracy
2,19,113,Accuracy
21,6,67,Gmean1
12,6,92,Accuracy
16,10,109,Gmean1
20,12,231,Accuracy
1,4,17,Accuracy
17,25,173,Gmean1
2,1,24,Accuracy
50,66,1237,Gmean1
4,1,8,Accuracy
11,26,158,Fmes
1,8,30,Accuracy
5,5,36,Accuracy
12,3,39,Accuracy
11,2,31,Accuracy
29,11,129,Gmean1
2,7,23,Accuracy
11,7,99,Accuracy
2,11,49,Accuracy
11,21,245,Accuracy
19,26,212,Accuracy
27,21,223,Gmean1
31,7,105,Accuracy
2,8,34,Accuracy
7,77,293,Accuracy
1,32,115,Gmean1
4,12,44,Accuracy
5,16,79,Accuracy
4,27,114,Accuracy
0,1,16,Accuracy
0,1,12,Accuracy
1,1,14,Accuracy
0,1,12,Accuracy
0,1,11,Accuracy
1,1,14,Accuracy
1,1,15,Accuracy
2,1,20,Accuracy
3,1,8,Accuracy
4,6,170,Accuracy
1,1,7,Accuracy
6,3,53,Accuracy
6,3,41,Accuracy
5,2,28,Accuracy
