CBO,NOC,RFC,SLOC ,LCOM,Output
9,0,31,79,79,Gmean1
1,5,56,33,0,Accuracy
3,0,15,12,0,Accuracy
2,0,17,14,25,Accuracy
2,0,18,6,0,Accuracy
2,0,20,17,0,Accuracy
15,0,49,230,86,Gmes
3,0,27,32,0,Accuracy
8,0,711,113,66,Gmean1
13,0,711,73,75,Accuracy
2,0,60,7,0,Accuracy
2,0,60,7,0,Accuracy
11,0,31,54,19,Accuracy
3,0,19,20,0,Accuracy
19,0,59,158,69,Accuracy
6,0,16,27,0,Accuracy
17,0,36,110,79,Accuracy
5,0,20,34,58,Accuracy
5,0,18,41,60,Gmean1
6,0,18,39,50,Accuracy
9,0,15,28,0,Accuracy
4,0,15,47,0,Accuracy
10,0,18,70,50,Accuracy
17,0,19,83,66,Balance
6,0,17,22,0,Accuracy
32,0,51,208,80,Accuracy
29,0,22,129,77,Gmean1
19,0,23,111,76,Accuracy
24,0,28,154,72,Accuracy
24,0,28,143,88,Gmes
15,0,20,105,80,Accuracy
20,0,91,129,0,Accuracy
7,0,88,26,0,Accuracy
46,1,41,633,92,Balance
18,0,95,104,50,Accuracy
49,0,31,589,75,Accuracy
16,0,95,72,40,Accuracy
14,1,22,162,88,Accuracy
19,2,51,254,97,Accuracy
12,0,15,86,0,Accuracy
7,0,15,15,0,Accuracy
16,0,20,108,42,Gmean1
8,0,20,88,0,Accuracy
14,0,23,244,40,Accuracy
11,0,22,172,58,Gmean1
15,0,17,121,43,Gmes
17,0,16,125,16,Accuracy
15,0,15,32,0,Accuracy
13,0,48,50,33,Accuracy
5,0,20,10,0,Accuracy
3,1,14,7,0,Accuracy
6,0,16,21,100,Accuracy
9,0,54,139,14,Accuracy
14,0,90,50,0,Accuracy
29,0,56,274,86,Gmes
6,0,20,13,0,Accuracy
2,0,14,5,0,Accuracy
15,0,80,67,0,Accuracy
13,0,21,73,67,Accuracy
19,0,58,186,0,Accuracy
1,0,50,8,0,Accuracy
1,0,51,11,0,Accuracy
7,0,25,190,91,Gmean1
15,0,41,188,64,Accuracy
9,0,15,61,0,Accuracy
3,0,14,17,0,Accuracy
31,0,35,1018,93,Accuracy
1,0,49,5,100,Gmean1
2,0,14,8,0,Accuracy
9,1,28,53,33,Accuracy
26,0,27,280,81,Precision
24,0,25,269,78,Gmes
23,0,21,157,70,Gmes
10,0,14,27,0,Accuracy
2,0,60,7,0,Accuracy
2,0,60,7,0,Accuracy
13,0,16,33,0,Accuracy
10,0,22,90,88,Gmes
6,0,30,47,28,Accuracy
5,0,24,24,19,Accuracy
8,0,20,39,58,Accuracy
7,0,16,20,0,Accuracy
15,0,23,123,76,Gmes
18,0,47,313,81,Accuracy
4,0,15,15,0,Accuracy
25,0,17,216,58,Accuracy
29,3,33,560,79,Accuracy
22,2,33,104,50,Balance
13,0,95,61,35,Accuracy
1,0,13,7,0,Accuracy
1,0,13,4,0,Accuracy
9,0,92,64,33,Accuracy
13,0,91,61,50,Accuracy
6,0,34,7,0,Accuracy
4,0,16,19,0,Accuracy
12,0,17,80,33,Accuracy
15,0,18,98,60,Accuracy
11,0,15,61,0,Accuracy
34,0,50,200,86,Accuracy
12,0,91,59,53,Accuracy
19,0,16,60,33,Accuracy
6,0,30,50,54,Accuracy
15,0,52,119,60,Gmean1
14,0,51,165,50,Accuracy
10,0,15,34,0,Accuracy
4,0,20,13,0,Accuracy
18,0,19,60,60,Accuracy
14,0,88,43,75,Accuracy
26,0,28,204,79,Precision
2,0,14,7,0,Accuracy
10,0,20,123,33,Accuracy
16,0,16,39,50,Balance
6,0,21,19,0,Accuracy
